state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
Nebraska,40758.0,38113.0,2645.0,23000.0,17570.0,32644.0,6671.0,3105.0,226.0,1049590.0,1021331.0,28259.0,1963554.0,28045.0,24118.0,3927.0,61205.0,115794.0038433317,209862.5441385637,49.88,2021
Nevada,11276.0,4357.0,6919.0,4684.0,2425.0,4446.0,1241.0,1811.0,155.0,1499501.0,1395652.0,103849.0,3146402.0,23915.0,22001.0,1914.0,60213.0,251362.8788803943,365557.8624314836,57.3,2021
New Hampshire,7691.0,5811.0,1880.0,4363.0,3309.0,6943.0,343.0,346.0,80.0,756863.0,731120.0,25743.0,1387505.0,22160.0,20387.0,1773.0,73200.0,236097.43914965226,362574.3439424242,44.49,2021
New Jersey,11525.0,10335.0,1190.0,6748.0,4748.0,4894.0,2253.0,5991.0,73.0,4666113.0,4357219.0,308894.0,9267961.0,169991.0,156391.0,13600.0,77016.0,233499.93649014307,394718.61641681223,51.93,2021
New Mexico,39327.0,27330.0,11997.0,21517.0,17378.0,23990.0,19866.0,1842.0,229.0,943384.0,876733.0,66651.0,2116677.0,26009.0,21327.0,4682.0,50311.0,137956.94451717762,236468.5124156277,53.07,2021
New York,363532.0,350882.0,12650.0,201080.0,159890.0,76148.0,127325.0,255703.0,4287.0,9557918.0,8886156.0,671762.0,19857492.0,591065.0,531958.0,59107.0,76837.0,172862.6103160449,365711.80568741664,48.17,2021
North Carolina,128135.0,125224.0,2911.0,66523.0,60766.0,63645.0,7726.0,55422.0,896.0,4954795.0,4712872.0,241923.0,10565885.0,128127.0,110189.0,17938.0,56173.0,129575.27480030667,250102.1944785763,58.7,2021
North Dakota,29044.0,25122.0,3922.0,16377.0,12561.0,14416.0,3021.0,4664.0,212.0,408907.0,396366.0,12541.0,777934.0,14200.0,10508.0,3692.0,64524.0,110205.82687889591,218941.49409375375,40.79999999999999,2021
Ohio,180779.0,180626.0,153.0,92831.0,87476.0,131535.0,10244.0,37816.0,636.0,5728776.0,5434819.0,293957.0,11764342.0,225774.0,203196.0,22578.0,56879.0,93769.68685523777,178246.31058313546,50.88,2021
Oklahoma,15688.0,13970.0,1718.0,8487.0,7158.0,9972.0,1522.0,2296.0,28.0,1860339.0,1785707.0,74632.0,3991225.0,52479.0,46706.0,5773.0,53870.0,73610.71246592145,157423.4123811293,60.14,2021
Oregon,45966.0,40500.0,5466.0,27155.0,18354.0,39093.0,3680.0,1194.0,211.0,2147616.0,2035430.0,112186.0,4256301.0,55982.0,49264.0,6718.0,61596.0,305676.3998124133,443114.16373744135,51.27,2021
Pennsylvania,66468.0,64999.0,1469.0,34476.0,31212.0,44948.0,11630.0,17220.0,104.0,6445367.0,6058976.0,386391.0,13012059.0,222063.0,195415.0,26648.0,64279.0,109302.57529049128,215100.8563455704,49.8,2021
Rhode Island,6335.0,5430.0,905.0,3695.0,2610.0,3885.0,1535.0,1600.0,25.0,571697.0,540181.0,31516.0,1096985.0,38390.0,35318.0,3072.0,64376.0,264108.8542949784,361975.49221400166,49.27,2021
South Carolina,39773.0,25717.0,14056.0,21767.0,14511.0,15081.0,1122.0,19561.0,88.0,2353975.0,2261063.0,92912.0,5193266.0,64286.0,57857.0,6429.0,52467.0,105115.9529383714,220852.34352140056,61.7,2021
South Dakota,53922.0,53922.0,0.0,30228.0,23496.0,16896.0,3234.0,3696.0,462.0,469588.0,457176.0,12412.0,896164.0,13913.0,11686.0,2227.0,64462.0,131888.68971249097,237073.3656027395,45.54,2021
Tennessee,59975.0,17892.0,42083.0,33017.0,22793.0,39982.0,1206.0,14536.0,133.0,3323552.0,3174141.0,149411.0,6968351.0,105863.0,95276.0,10587.0,56560.0,114222.84281576116,234923.29416271215,58.11,2021
Texas,558108.0,549149.0,8959.0,279648.0,275556.0,370149.0,182760.0,161585.0,4606.0,14311067.0,13503688.0,807379.0,29558864.0,284859.0,247827.0,37032.0,59865.0,134555.35769241888,246145.08057812517,65.97,2021
Utah,29104.0,17320.0,11784.0,8754.0,8500.0,14578.0,4103.0,1219.0,123.0,1687544.0,1641341.0,46203.0,3339113.0,19686.0,17520.0,2166.0,56019.0,319419.61127446673,448626.09688531276,49.55,2021
Vermont,25283.0,25283.0,0.0,13638.0,11523.0,22858.0,879.0,1187.0,109.0,335822.0,323352.0,12470.0,646972.0,13185.0,11339.0,1846.0,61882.0,164111.06209698724,273424.8110947163,43.74,2021
Virginia,85150.0,78473.0,6677.0,45640.0,38528.0,46528.0,4489.0,30907.0,896.0,4331304.0,4162563.0,168741.0,8657365.0,106379.0,93613.0,12766.0,66305.0,164657.31100455465,319413.002155896,55.54,2021
Washington,118833.0,118833.0,0.0,64468.0,53224.0,90168.0,22857.0,10717.0,1207.0,3898712.0,3695708.0,203004.0,7740745.0,93650.0,84285.0,9365.0,73775.0,330937.27255213045,508121.74781058537,50.47,2021
West Virginia,29058.0,20348.0,8710.0,16829.0,12171.0,24514.0,563.0,2946.0,137.0,778756.0,739007.0,39749.0,1785526.0,34137.0,31064.0,3073.0,48488.0,59888.14981882425,130557.02935408163,53.08,2021
Wisconsin,168797.0,159784.0,9013.0,90595.0,77568.0,111016.0,14179.0,31838.0,1047.0,3099768.0,2981067.0,118701.0,5880101.0,78160.0,67999.0,10161.0,59626.0,129621.93546062472,231045.00426388855,44.71,2021
Wyoming,9315.0,9315.0,0.0,3795.0,5497.0,8280.0,690.0,184.0,0.0,289152.0,275747.0,13405.0,579483.0,5765.0,5361.0,404.0,69666.0,172535.20583762653,282158.0843498655,43.47,2021
