state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,38970.0,29286.0,9684.0,21976.0,16917.0,24452.0,375.0,14146.0,14.0,2152304.0,2020451.0,131853.0,4854803.0,93158.0,83842.0,9316.0,38531.0,43230.964551158926,116539.86046307105,62.68
Alaska,21404.0,17499.0,3905.0,12309.0,9093.0,8675.0,666.0,716.0,174.0,362423.0,339604.0,22819.0,738430.0,7675.0,7444.0,231.0,57575.0,142361.13600737354,257922.96345467796,32.03
Arizona,36318.0,19006.0,17312.0,20920.0,15362.0,25793.0,7957.0,2839.0,244.0,3184449.0,2990548.0,193901.0,6832810.0,41102.0,37813.0,3289.0,40334.0,117295.13197826718,194427.01270306553,65.97
Arkansas,29342.0,17336.0,12006.0,16593.0,12749.0,18127.0,3925.0,10370.0,35.0,1339309.0,1272792.0,66517.0,2979732.0,50935.0,46350.0,4585.0,39968.0,34909.97493841955,105487.17815120144,60.09
California,128007.0,46325.0,81682.0,84592.0,42891.0,73761.0,34563.0,33249.0,2257.0,18824146.0,17647412.0,1176734.0,38904296.0,486024.0,452002.0,34022.0,54546.0,215229.67484263677,410284.74059039494,61.17
Colorado,236938.0,128944.0,107994.0,139377.0,97110.0,187145.0,83132.0,17941.0,1213.0,2825761.0,2719996.0,105765.0,5454328.0,60844.0,56584.0,4260.0,52339.0,165408.71545711634,283512.9824395562,46.26
Connecticut,22851.0,19309.0,3542.0,14451.0,8357.0,12634.0,6128.0,8338.0,212.0,1892088.0,1785789.0,106299.0,3588561.0,82022.0,75460.0,6562.0,67321.0,134798.11893572635,238677.04460486365,48.6
Delaware,2859.0,2748.0,111.0,1659.0,1200.0,1107.0,162.0,1539.0,9.0,462751.0,440555.0,22196.0,942065.0,12924.0,11760.0,1164.0,47868.0,116307.47853749944,221787.20802892544,54.48
Florida,81405.0,39303.0,42102.0,50460.0,30862.0,46226.0,10565.0,30917.0,275.0,9639739.0,9106774.0,532965.0,20219111.0,195737.0,183992.0,11745.0,45659.0,88606.5011595143,176762.66667383743,71.8
Georgia,878550.0,346137.0,532413.0,499335.0,379214.0,398241.0,53038.0,437930.0,2122.0,4734097.0,4446519.0,287578.0,10183353.0,136211.0,121227.0,14984.0,41941.0,59329.69153617936,142694.83018592035,62.300000000000004
Hawaii,13054.0,5403.0,7651.0,7708.0,5318.0,3902.0,1551.0,403.0,655.0,670595.0,647616.0,22979.0,1422999.0,22587.0,18295.0,4292.0,47777.0,266714.9417752084,488942.44713652274,72.95
Idaho,52828.0,36063.0,16765.0,27289.0,25494.0,47177.0,7671.0,1161.0,305.0,795024.0,764126.0,30898.0,1652495.0,12349.0,11484.0,865.0,39386.0,110611.96814047782,181404.83148617527,46.32
Illinois,28027.0,25319.0,2708.0,15299.0,12728.0,17416.0,2481.0,8685.0,135.0,6511808.0,6119941.0,391867.0,12859585.0,229819.0,206837.0,22982.0,51443.0,55633.73167190238,146832.23927089295,51.37
Indiana,383593.0,340530.0,43063.0,221657.0,161929.0,257116.0,15336.0,107835.0,557.0,3266401.0,3109791.0,156610.0,6611442.0,89402.0,80461.0,8941.0,42667.0,52921.1888115537,117727.33603278802,51.81
Iowa,190212.0,180659.0,9553.0,98468.0,91450.0,116146.0,14274.0,56884.0,875.0,1700558.0,1637474.0,63084.0,3122541.0,40859.0,36364.0,4495.0,46104.0,48581.25190372471,118101.84115336953,48.14
Kansas,123148.0,111378.0,11770.0,66111.0,56734.0,92173.0,13353.0,21305.0,12.0,1493787.0,1431533.0,62254.0,2910717.0,35183.0,31312.0,3871.0,47332.0,41441.5842998973,111817.58636099516,54.68
Kentucky,252461.0,178945.0,73516.0,133863.0,118121.0,208540.0,7272.0,28337.0,475.0,1979654.0,1876016.0,103638.0,4429126.0,83819.0,75437.0,8382.0,39232.0,32491.682418248263,109552.35092321048,55.62
