state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Louisiana,29331.0,23827.0,5504.0,18799.0,10467.0,11311.0,557.0,16858.0,111.0,2150066.0,2015088.0,134978.0,4666998.0,96043.0,83557.0,12486.0,43113.0,41603.31092894503,138979.57404815478,66.74
Maine,37952.0,37008.0,944.0,19488.0,18320.0,32576.0,1200.0,3408.0,96.0,687852.0,657547.0,30305.0,1329098.0,26513.0,24657.0,1856.0,43672.0,93666.37665373576,171487.8792498977,43.09
Maryland,8196.0,6824.0,1372.0,5072.0,3118.0,2950.0,487.0,4838.0,57.0,3139990.0,2983083.0,156907.0,5988528.0,99649.0,87691.0,11958.0,55825.0,131717.27152753886,259716.6510726963,54.61
Massachusetts,18400.0,17809.0,591.0,9664.0,8731.0,10675.0,5809.0,6029.0,162.0,3589408.0,3417294.0,172114.0,6797484.0,192619.0,182988.0,9631.0,62376.0,196343.57026152752,331180.35880662804,48.14
Michigan,113868.0,100104.0,13764.0,57863.0,55945.0,87048.0,6010.0,19559.0,105.0,4760214.0,4501823.0,258391.0,9934483.0,146376.0,136129.0,10247.0,43425.0,37214.102516366,114071.67843516546,46.64
Minnesota,33868.0,28861.0,5007.0,16657.0,17113.0,18548.0,2803.0,8884.0,345.0,3005417.0,2891675.0,113742.0,5484002.0,89522.0,83255.0,6267.0,51985.0,100964.76592592198,182960.7660271298,42.98
Mississippi,63721.0,43210.0,20511.0,39365.0,24356.0,19484.0,841.0,43255.0,11.0,1260020.0,1178023.0,81997.0,2990231.0,53951.0,52332.0,1619.0,35533.0,36830.54392964256,103680.14315934836,63.5
Missouri,153142.0,119070.0,34072.0,78374.0,74669.0,115071.0,5052.0,27038.0,1295.0,3057872.0,2901473.0,156399.0,6075411.0,91557.0,83316.0,8241.0,43322.0,49756.54501307189,122574.8602122513,54.7
Montana,95704.0,46872.0,48832.0,55776.0,39816.0,71736.0,7280.0,2128.0,0.0,517904.0,495728.0,22176.0,1031495.0,13771.0,11980.0,1791.0,43941.0,109953.44258659425,201280.8638025477,44.18
Nebraska,52813.0,50523.0,2290.0,26727.0,26068.0,44879.0,10861.0,3075.0,214.0,1011670.0,981326.0,30344.0,1892059.0,27754.0,24978.0,2776.0,50556.0,65315.58503685017,135770.06895039976,49.88
Nevada,13321.0,6502.0,6819.0,8687.0,4629.0,8567.0,1666.0,3227.0,235.0,1396760.0,1301093.0,95667.0,2868531.0,22793.0,21425.0,1368.0,44493.0,122994.61711505365,211358.76271185128,57.3
New Hampshire,7189.0,6449.0,740.0,4050.0,3112.0,6640.0,288.0,248.0,14.0,746316.0,720831.0,25485.0,1337480.0,21311.0,20245.0,1066.0,54684.0,130592.56241687882,221346.29314191916,44.49
New Jersey,13875.0,12484.0,1391.0,8277.0,5586.0,6188.0,2438.0,7427.0,102.0,4494605.0,4237874.0,256731.0,8870312.0,171562.0,156121.0,15441.0,59175.0,144972.98914954677,277189.1269475615,51.93
New Mexico,44231.0,35376.0,8855.0,23206.0,20957.0,30279.0,19495.0,2197.0,136.0,938301.0,876206.0,62095.0,2090071.0,25670.0,21819.0,3851.0,38103.0,86526.80635536238,160643.85725816552,53.07
New York,405009.0,386946.0,18063.0,212218.0,192109.0,91899.0,133973.0,282939.0,4293.0,9536524.0,9035992.0,500532.0,19657321.0,602780.0,560585.0,42195.0,57481.0,107407.656011758,230193.54876630066,48.17
North Carolina,252195.0,194140.0,58055.0,140739.0,111359.0,124964.0,17720.0,108551.0,2739.0,4763826.0,4493884.0,269942.0,10037218.0,123508.0,114862.0,8646.0,42076.0,68781.24815218913,152388.49780228257,58.7
North Dakota,69165.0,43407.0,25758.0,44679.0,24168.0,41022.0,4770.0,12296.0,848.0,410768.0,399297.0,11471.0,755537.0,13393.0,10714.0,2679.0,53991.0,87437.83354007534,188887.08933737574,40.79999999999999
Ohio,256862.0,221279.0,35583.0,139499.0,117199.0,199486.0,11113.0,41862.0,553.0,5710784.0,5427854.0,282930.0,11622315.0,224043.0,210600.0,13443.0,44442.0,47229.05836401457,114715.62201700915,50.88
Oklahoma,21297.0,13607.0,7690.0,11384.0,9909.0,14531.0,1536.0,2766.0,2.0,1829054.0,1750504.0,78550.0,3910518.0,53291.0,50093.0,3198.0,44894.0,38329.19337014106,106522.38691057572,60.14
Oregon,164102.0,66743.0,97359.0,89557.0,73980.0,138682.0,22742.0,4828.0,1867.0,1979479.0,1871287.0,108192.0,4018542.0,53002.0,50351.0,2651.0,44694.0,154956.84558528286,254638.49492679056,51.27
Pennsylvania,111579.0,95604.0,15975.0,58198.0,53325.0,79535.0,18678.0,25783.0,749.0,6423156.0,6076403.0,346753.0,12789838.0,220877.0,200998.0,19879.0,49927.0,61891.384006508226,147652.6448824301,49.8
Rhode Island,5555.0,5375.0,180.0,3455.0,2090.0,3825.0,1400.0,1435.0,20.0,555273.0,521768.0,33505.0,1056886.0,37570.0,35315.0,2255.0,48682.0,145306.56826907618,229891.52279102997,49.27
South Carolina,66115.0,42978.0,23137.0,41597.0,24518.0,27640.0,1689.0,36675.0,141.0,2267838.0,2134087.0,133751.0,4896006.0,62712.0,59576.0,3136.0,40053.0,54302.855559258234,141902.70573443777,61.7
South Dakota,68376.0,59400.0,8976.0,43692.0,24618.0,26598.0,1056.0,5742.0,198.0,453095.0,439295.0,13800.0,854663.0,13811.0,11877.0,1934.0,49186.0,75330.19606984539,155992.64483017309,45.54
Tennessee,75150.0,28506.0,46644.0,42120.0,32817.0,50419.0,1276.0,21767.0,92.0,3074219.0,2902687.0,171532.0,6595354.0,105838.0,99487.0,6351.0,42535.0,56716.89644267186,133128.5061787591,58.11
Texas,1489550.0,873377.0,616173.0,936432.0,549084.0,1094065.0,629986.0,311591.0,5990.0,13090995.0,12503476.0,587519.0,27468531.0,277654.0,252665.0,24989.0,47465.0,75585.86977920265,157626.31965462136,65.97
Utah,18732.0,16116.0,2616.0,9977.0,8724.0,15290.0,2956.0,1806.0,108.0,1453456.0,1401944.0,51512.0,2983626.0,18615.0,17684.0,931.0,40459.0,150798.36540693496,236997.2066495864,49.55
Vermont,14147.0,13181.0,966.0,7669.0,6476.0,13039.0,467.0,998.0,3.0,346515.0,334264.0,12251.0,625810.0,12358.0,11245.0,1113.0,48876.0,108012.00150072754,189227.244455219,43.74
Virginia,83113.0,70556.0,12557.0,47212.0,35732.0,40815.0,4147.0,35895.0,1024.0,4233978.0,4048077.0,185901.0,8367303.0,103839.0,94493.0,9346.0,52238.0,105026.44326944918,228170.80691608405,55.54
Washington,189578.0,110320.0,79258.0,106074.0,83252.0,156568.0,36032.0,11101.0,1671.0,3554830.0,3361252.0,193578.0,7167287.0,87564.0,81434.0,6130.0,53083.0,157654.7519843644,272105.93424116034,50.47
West Virginia,51360.0,35777.0,15583.0,33853.0,17502.0,42253.0,1348.0,7581.0,44.0,791534.0,739456.0,52078.0,1843332.0,33931.0,30877.0,3054.0,37468.0,37983.84264373809,97213.74475625367,53.08
Wisconsin,250653.0,236135.0,14518.0,126180.0,124400.0,168720.0,23497.0,46897.0,3047.0,3084210.0,2947053.0,137157.0,5762927.0,76183.0,69326.0,6857.0,46548.0,71573.85469830422,148219.55129002946,44.71
Wyoming,18354.0,11661.0,6693.0,11569.0,6785.0,14444.0,2967.0,690.0,0.0,301612.0,288896.0,12716.0,586389.0,5702.0,5188.0,514.0,57846.0,129105.11917033496,213883.13048404778,43.47
