state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,47663.0,28890.0,18773.0,27021.0,20440.0,21263.0,915.0,25188.0,99.0,2155731.0,2029159.0,126572.0,4866824.0,91507.0,84186.0,7321.0,39014.0,45778.2536288975,121525.90978284716,62.68
Alaska,23650.0,17956.0,5694.0,13009.0,10558.0,10983.0,1755.0,1135.0,850.0,362020.0,338197.0,23823.0,742575.0,7689.0,7996.0,-307.0,56278.0,149177.9756589256,264976.8140566977,32.03
Arizona,34347.0,17716.0,16631.0,21504.0,12760.0,25031.0,6820.0,2771.0,130.0,3253471.0,3075854.0,177617.0,6944767.0,40894.0,38440.0,2454.0,41473.0,131156.83526048835,211319.42488824585,65.97
Arkansas,29853.0,17902.0,11951.0,15155.0,14694.0,18278.0,651.0,10572.0,53.0,1343902.0,1290439.0,53463.0,2991815.0,51029.0,45926.0,5103.0,40873.0,38605.114289214274,111338.6064629149,60.09
California,135580.0,44575.0,91005.0,89127.0,45597.0,81525.0,36258.0,33580.0,1973.0,19012023.0,17965411.0,1046612.0,39149186.0,482092.0,448345.0,33747.0,56560.0,236479.88584429424,439031.6719299042,61.17
Colorado,238518.0,130092.0,108426.0,141053.0,96756.0,187773.0,81403.0,18185.0,1184.0,2894163.0,2803506.0,90657.0,5543844.0,60805.0,56548.0,4257.0,52390.0,189296.40476250974,317055.8208555296,46.26
Connecticut,21998.0,18223.0,3775.0,13888.0,8082.0,12301.0,6080.0,8117.0,176.0,1893198.0,1801389.0,91809.0,3579830.0,81822.0,76094.0,5728.0,68680.0,139485.29336170692,242726.25949018743,48.6
Delaware,3210.0,3057.0,153.0,1974.0,1233.0,1218.0,177.0,1851.0,3.0,468808.0,447640.0,21168.0,949989.0,12935.0,11900.0,1035.0,48734.0,125955.48530315851,232942.52178871536,54.48
Florida,76640.0,39332.0,37308.0,48809.0,27756.0,42756.0,9120.0,30070.0,277.0,9841314.0,9360244.0,481070.0,20627237.0,195157.0,183447.0,11710.0,46454.0,101664.43209206885,194070.2964453611,71.8
Georgia,844613.0,312446.0,532167.0,489372.0,355241.0,382021.0,50517.0,426724.0,4844.0,4921819.0,4653744.0,268075.0,10308442.0,134287.0,120858.0,13429.0,43033.0,65234.21379544228,152996.36421477844,62.300000000000004
Hawaii,13883.0,5305.0,8578.0,8141.0,5695.0,3902.0,1646.0,419.0,556.0,679121.0,659558.0,19563.0,1428885.0,22644.0,18568.0,4076.0,49122.0,288373.0292031205,521931.32208072324,72.95
Idaho,60207.0,33723.0,26484.0,30552.0,29610.0,52412.0,8545.0,958.0,219.0,812922.0,783180.0,29742.0,1684036.0,12325.0,11462.0,863.0,40098.0,122703.1936677951,197412.94380881012,46.32
Illinois,26525.0,24053.0,2472.0,14737.0,11776.0,18177.0,1916.0,7293.0,51.0,6559053.0,6172680.0,386373.0,12821709.0,225390.0,205104.0,20286.0,52036.0,61020.14622042759,155334.2297208354,51.37
Indiana,381908.0,330727.0,51181.0,210915.0,170354.0,266477.0,15611.0,96051.0,924.0,3331831.0,3186426.0,145405.0,6637898.0,89089.0,80180.0,8909.0,43645.0,57038.531412145385,123783.32476241783,51.81
Iowa,185335.0,179025.0,6310.0,95762.0,89380.0,108973.0,15729.0,62902.0,308.0,1703168.0,1642155.0,61013.0,3133210.0,40443.0,36398.0,4045.0,46291.0,53285.09911560006,124931.1849522542,48.14
Kansas,92308.0,82476.0,9832.0,43907.0,48300.0,76523.0,10312.0,10560.0,213.0,1491974.0,1431924.0,60050.0,2912977.0,34926.0,31084.0,3842.0,47326.0,43643.20311157982,117514.41250506064,54.68
Kentucky,244906.0,177159.0,67747.0,137089.0,107460.0,198519.0,5902.0,29768.0,354.0,2015646.0,1914481.0,101165.0,4440306.0,84487.0,76038.0,8449.0,39750.0,35362.71359769008,114358.75903618679,55.62
Louisiana,28021.0,22436.0,5585.0,17966.0,10021.0,10267.0,1500.0,15909.0,90.0,2123693.0,1994637.0,129056.0,4681346.0,94283.0,82969.0,11314.0,42725.0,45876.53232861473,144510.3324832877,66.74
Maine,35856.0,33936.0,1920.0,19696.0,16112.0,29952.0,1120.0,3792.0,144.0,693921.0,667725.0,26196.0,1332348.0,26434.0,24847.0,1587.0,44740.0,99448.73520723167,182599.37511604893,43.09
Maryland,7757.0,6466.0,1291.0,4839.0,2911.0,2626.0,720.0,4741.0,31.0,3155924.0,3020832.0,135092.0,6007014.0,98352.0,89500.0,8852.0,57632.0,137946.0077975537,268303.9518444541,54.61
Massachusetts,17186.0,16433.0,753.0,9456.0,7713.0,9872.0,5468.0,4988.0,78.0,3617500.0,3472328.0,145172.0,6827280.0,192429.0,182807.0,9622.0,64295.0,211364.52368466588,354207.4436644688,48.14
Michigan,96304.0,82760.0,13544.0,46878.0,49298.0,72764.0,6068.0,15965.0,91.0,4848646.0,4606954.0,241692.0,9954117.0,145611.0,135418.0,10193.0,44527.0,42558.65224005853,123003.11145279827,46.64
Minnesota,33020.0,28730.0,4290.0,15620.0,17333.0,17148.0,3238.0,8987.0,230.0,3023123.0,2906351.0,116772.0,5525360.0,91661.0,83411.0,8250.0,52596.0,110302.88815538312,196122.53269593837,42.98
Mississippi,60820.0,36172.0,24648.0,34836.0,25924.0,24348.0,438.0,35613.0,39.0,1271842.0,1196246.0,75596.0,2990595.0,55463.0,53244.0,2219.0,36021.0,41618.968335389545,113314.25647043594,63.5
Missouri,147879.0,109134.0,38745.0,75089.0,72685.0,111230.0,4524.0,27968.0,702.0,3072912.0,2933460.0,139452.0,6091384.0,90864.0,84503.0,6361.0,44410.0,54779.466883623034,130217.3860149331,54.7
Montana,79408.0,44128.0,35280.0,45808.0,33544.0,49112.0,6272.0,1400.0,56.0,521742.0,499269.0,22473.0,1042137.0,13654.0,12288.0,1366.0,44063.0,121011.84215472902,215698.21754978053,44.18
Nebraska,53099.0,51876.0,1223.0,28767.0,24326.0,46161.0,7514.0,3053.0,20.0,1016074.0,984967.0,31107.0,1906483.0,27711.0,25217.0,2494.0,49360.0,70652.44741159039,144486.2229378989,49.88
Nevada,10212.0,5221.0,4991.0,7193.0,3013.0,6821.0,1356.0,2252.0,189.0,1414233.0,1332391.0,81842.0,2919555.0,22715.0,22033.0,682.0,45450.0,135605.26012571415,229183.6904005666,57.3
New Hampshire,6726.0,5975.0,751.0,3626.0,3073.0,5967.0,343.0,430.0,10.0,752476.0,731000.0,21476.0,1343694.0,21355.0,20714.0,641.0,56321.0,139686.7792035614,234293.40853807598,44.49
