state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Nebraska,48706.0,47295.0,1411.0,26046.0,22656.0,39661.0,5889.0,4616.0,214.0,1023170.0,992745.0,30425.0,1916998.0,27803.0,25022.0,2781.0,50144.0,75745.99378874172,153303.58240214727,49.88
Nevada,11151.0,4543.0,6608.0,7734.0,3393.0,7648.0,1469.0,2396.0,210.0,1444268.0,1372025.0,72243.0,2972097.0,23234.0,22304.0,930.0,47485.0,155212.0252124852,250715.2921304282,57.3
New Hampshire,7592.0,6538.0,1054.0,4077.0,3470.0,6722.0,472.0,301.0,51.0,758133.0,736919.0,21214.0,1350395.0,21327.0,20473.0,854.0,58362.0,151214.94575382725,250993.9144167178,44.49
New Jersey,11922.0,10043.0,1879.0,7197.0,4703.0,5250.0,2316.0,6116.0,96.0,4614956.0,4406152.0,208804.0,8888147.0,165307.0,153735.0,11572.0,62465.0,157725.73917194098,298413.1061346099,51.93
New Mexico,38566.0,24998.0,13568.0,21850.0,15932.0,22407.0,16629.0,1258.0,165.0,948581.0,890989.0,57592.0,2092844.0,25660.0,22067.0,3593.0,39458.0,93031.14960552055,170218.48659218196,53.07
New York,409770.0,388658.0,21112.0,212693.0,195484.0,83807.0,140081.0,287991.0,5107.0,9838172.0,9382751.0,455421.0,19593849.0,601284.0,553181.0,48103.0,62913.0,119394.88509527908,258435.3192927668,48.17
North Carolina,251112.0,171993.0,79119.0,143684.0,106943.0,133345.0,13430.0,93963.0,979.0,4865908.0,4646213.0,219695.0,10275758.0,121907.0,108497.0,13410.0,44591.0,80399.11475558628,171321.87332916816,58.7
North Dakota,57717.0,40174.0,17543.0,42983.0,14416.0,19451.0,2279.0,6731.0,318.0,415769.0,404907.0,10862.0,756755.0,13299.0,10506.0,2793.0,52521.0,94332.24085574543,198030.17562556814,40.79999999999999
Ohio,254961.0,207550.0,47411.0,136011.0,118254.0,192153.0,9773.0,47778.0,544.0,5818986.0,5529483.0,289503.0,11665706.0,225458.0,211930.0,13528.0,46646.0,55752.42014738556,127316.45101759901,50.88
Oklahoma,23973.0,14029.0,9944.0,13006.0,10942.0,14576.0,1704.0,2497.0,2.0,1826279.0,1752738.0,73541.0,3933602.0,53344.0,49076.0,4268.0,44423.0,43110.44317122393,114170.93811423029,60.14
Oregon,171974.0,61148.0,110826.0,97204.0,74215.0,151102.0,18389.0,3680.0,972.0,2075687.0,1991506.0,84181.0,4147294.0,52188.0,49056.0,3132.0,47974.0,197064.16355566177,316508.62723689893,51.27
Pennsylvania,99481.0,83526.0,15955.0,53370.0,45907.0,69048.0,14243.0,25687.0,473.0,6485256.0,6161914.0,323342.0,12794679.0,220213.0,200393.0,19820.0,52421.0,70029.63066841125,159280.25066487418,49.8
Rhode Island,5900.0,5555.0,345.0,3715.0,2150.0,3810.0,1315.0,1545.0,40.0,568146.0,542552.0,25594.0,1056554.0,38021.0,35739.0,2282.0,50982.0,175955.16699791094,263728.71164840396,49.27
South Carolina,48584.0,30593.0,17991.0,30025.0,18416.0,18863.0,1054.0,27653.0,93.0,2261769.0,2166705.0,95064.0,5027102.0,62267.0,59153.0,3114.0,42758.0,64390.68059344368,158782.76257894633,61.7
South Dakota,62238.0,50952.0,11286.0,34914.0,27192.0,20460.0,2772.0,2904.0,198.0,455339.0,441450.0,13889.0,873732.0,13786.0,11718.0,2068.0,50104.0,88408.36919995864,174407.5300921084,45.54
Tennessee,58919.0,25633.0,33286.0,31901.0,26927.0,40116.0,1541.0,16718.0,82.0,3197036.0,3077514.0,119522.0,6714748.0,104773.0,98486.0,6287.0,44879.0,67983.94937747388,155847.67976134268,58.11
Texas,1516309.0,766035.0,750274.0,909286.0,588830.0,1010923.0,539529.0,382792.0,21071.0,13474010.0,12888029.0,585981.0,28291024.0,278107.0,250296.0,27811.0,49231.0,90492.30553151054,181899.58790842607,65.97
Utah,18239.0,16096.0,2143.0,10184.0,8024.0,15195.0,3233.0,1346.0,75.0,1554351.0,1505412.0,48939.0,3103540.0,18750.0,17625.0,1125.0,43241.0,187985.52045306642,283684.9464206682,49.55
Vermont,12433.0,11027.0,1406.0,6609.0,5769.0,11413.0,576.0,571.0,43.0,355381.0,344698.0,10683.0,625132.0,12665.0,11525.0,1140.0,50771.0,117954.79135751996,203301.17430093858,43.74
Virginia,75770.0,60762.0,15008.0,43073.0,32568.0,38787.0,4936.0,33060.0,411.0,4352985.0,4193294.0,159691.0,8471011.0,102360.0,93147.0,9213.0,54879.0,117372.74539132137,246527.2732222233,55.54
Washington,183645.0,122974.0,60671.0,102996.0,79861.0,138758.0,29109.0,13219.0,1530.0,3727690.0,3554758.0,172932.0,7427951.0,88529.0,83217.0,5312.0,57265.0,201520.55125535632,337703.4417764517,50.47
West Virginia,31624.0,26929.0,4695.0,20035.0,11545.0,26712.0,924.0,3978.0,88.0,784740.0,743786.0,40954.0,1818683.0,34651.0,31878.0,2773.0,39140.0,41912.4617807499,102144.1392642818,53.08
Wisconsin,232691.0,223035.0,9656.0,119298.0,112699.0,147661.0,17528.0,49991.0,3877.0,3141758.0,3039351.0,102407.0,5793147.0,77022.0,69319.0,7703.0,48758.0,84409.62410332944,166874.46600722158,44.71
Wyoming,20079.0,11730.0,8349.0,13110.0,6900.0,14973.0,2438.0,989.0,46.0,293805.0,281164.0,12641.0,579994.0,5773.0,5542.0,231.0,57184.0,133907.48545719357,223160.83785527776,43.47
