coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,year
CA-513,"Visalia/Kings, Tulare Counties CoC",1297.0,360.0,937.0,529.0,259981,225911,34070,621372,5573.0,5178.0,395.0,99222,45237.52970523293,167612.21638984644,238438.7316159561,61.17,3465.8153999999995,13698.886000000002,2020
CA-514,Fresno City & County/Madera County CoC,3641.0,960.0,2681.0,645.0,508574,449638,58936,1158679,18733.0,17784.0,949.0,189364,47955.41410692694,187554.86882443688,278268.08177624375,61.17000000000001,3465.8154,13698.886,2020
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",744.0,339.0,405.0,276.0,234232,216454,17778,502556,2246.0,1989.0,257.0,34855,70811.73422663345,389328.6040168458,522962.2302453811,61.17,3465.8154,13698.886,2020
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1529.0,506.0,1023.0,430.0,121398,110316,11082,310906,4765.0,4312.0,453.0,43184,49479.41242369076,168020.37977016898,260904.58707779067,61.17,3465.8154,13698.886,2020
CA-517,Napa City & County CoC,464.0,161.0,303.0,202.0,69024,62851,6173,135965,1877.0,1501.0,376.0,10356,82408.0,505722.38768433133,707005.5024015299,61.17,3465.8154,13698.886,2020
CA-518,Vallejo/Solano County CoC,1162.0,230.0,932.0,232.0,202218,182483,19735,446935,6882.0,5712.0,1170.0,40283,58688.0,376560.4626279899,472755.13457959285,61.17,3465.8154,13698.886,2020
CA-519,"Chico, Paradise/Butte County CoC",1274.0,436.0,838.0,278.0,93416,84666,8750,212744,3101.0,2728.0,373.0,35963,50279.0,206456.2735153035,328993.9172229618,61.17,3465.8154,13698.886,2020
CA-520,Merced City & County CoC,636.0,323.0,313.0,194.0,115723,101215,14508,279252,3593.0,3233.0,360.0,44302,43914.0,221129.721554708,293666.03540558595,61.17,3465.8154,13698.886,2020
CA-521,"Davis, Woodland/Yolo County CoC",641.0,244.0,397.0,175.0,105028,96867,8161,219728,3001.0,2550.0,451.0,31066,58391.0,344052.64070306957,471627.43577075074,61.17,3465.8154,13698.886,2020
CA-522,Humboldt County CoC,1701.0,299.0,1402.0,523.0,59871,54757,5114,134977,2010.0,1547.0,463.0,20847,50182.0,222693.94203187723,337885.22385871224,61.17,3465.8154,13698.886,2020
CA-523,"Colusa, Glenn, Trinity Counties CoC",261.0,111.0,150.0,44.0,27978,24703,3275,62057,410.0,378.0,32.0,7832,52370.44273812785,181853.48467614228,274264.90711175994,61.17000000000001,3465.8154,13698.886000000002,2020
CA-524,Yuba City & County/Sutter County CoC,721.0,202.0,519.0,231.0,76374,67914,8460,176545,1987.0,1829.0,158.0,23800,48751.710498739696,232253.3681077153,321451.0732928401,61.17,3465.8154,13698.885999999999,2020
CA-525,El Dorado County CoC,663.0,183.0,480.0,107.0,91063,83355,7708,192925,849.0,755.0,94.0,15992,72662.0,344331.9992033542,511110.2896142315,61.17,3465.8154,13698.886,2020
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",834.0,147.0,687.0,252.0,63337,57359,5978,158066,616.0,587.0,29.0,17404,51057.71608695102,218180.35523852654,320367.3518166107,61.169999999999995,3465.8154,13698.885999999999,2020
CA-527,Tehama County CoC,300.0,85.0,215.0,124.0,25724,23386,2338,64494,667.0,640.0,27.0,8467,46007.0,136479.4505143159,247396.1500620769,61.17,3465.8154,13698.886,2020
CA-529,Lake County CoC,357.0,21.0,336.0,54.0,28513,25729,2784,64479,477.0,429.0,48.0,10131,47144.0,149776.28361707216,255322.11023194564,61.17,3465.8154,13698.886,2020
CA-530,"Alpine, Inyo, Mono Counties CoC",184.0,22.0,162.0,31.0,16749,15071,1678,33699,24.0,20.0,4.0,3384,60523.52173655004,260192.4410348431,411902.0120663619,61.17,3465.8153999999995,13698.886,2020
CA-601,San Diego City and County CoC,7638.0,3667.0,3971.0,1519.0,1547325,1401923,145402,3332427,40963.0,38095.0,2868.0,306807,66266.0,439950.95275737514,625014.9180362183,61.17,3465.8154,13698.886,2020
CA-602,"Santa Ana, Anaheim/Orange County CoC",6978.0,3017.0,3961.0,2810.0,1566866,1426971,139895,3166857,27823.0,24484.0,3339.0,280128,74618.0,526736.441459597,750487.0509254524,61.17,3465.8154,13698.886,2020
CA-603,Santa Maria/Santa Barbara County CoC,1897.0,674.0,1223.0,620.0,218934,201111,17823,444766,7812.0,7265.0,547.0,44777,67879.0,385371.0656949051,606360.6557726318,61.17000000000001,3465.8154,13698.886000000002,2020
CA-604,Bakersfield/Kern County CoC,1580.0,576.0,1004.0,4.0,387111,337439,49672,901362,5852.0,5500.0,352.0,159609,44721.0,162584.9068260529,239860.42703862814,61.17,3465.8154,13698.886,2020
CA-608,Riverside City & County CoC,2884.0,729.0,2155.0,1007.0,1121076,1008036,113040,2489188,13518.0,12031.0,1487.0,275176,45834.0,297537.2036452347,414878.79405586916,61.17,3465.8154000000004,13698.886,2020
CA-609,San Bernardino City & County CoC,3125.0,735.0,2390.0,760.0,974715,880887,93828,2189183,15539.0,13985.0,1554.0,308021,44831.0,251943.88830651084,380747.2580157668,61.17,3465.8154,13698.886,2020
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1787.0,522.0,1265.0,429.0,410872,374964,35908,841387,8960.0,8064.0,896.0,75060,67422.0,468484.43993074744,634908.3745171828,61.17,3465.8153999999995,13698.886,2020
CA-613,Imperial County CoC,1527.0,193.0,1334.0,750.0,71686,55464,16222,180267,3148.0,3022.0,126.0,31134,44500.0,153743.80165684174,239488.12278101392,61.17,3465.8154,13698.886000000002,2020
CA-614,San Luis Obispo County CoC,1423.0,251.0,1172.0,331.0,134417,123926,10491,282249,2785.0,2729.0,56.0,28338,62342.0,438302.15369162086,635139.7451428097,61.17000000000001,3465.8154,13698.886,2020
CO-500,Colorado Balance of State CoC,1638.0,840.0,798.0,579.0,772823,722257,50566,1484169,16452.0,14478.0,1974.0,154193,55274.153948775376,229415.54345259717,355733.32096796564,46.26,1863.8112000000003,10524.972,2020
CO-503,Metropolitan Denver CoC,6104.0,4543.0,1561.0,1867.0,556436,519608,36828,1018202,5282.0,4529.0,753.0,56702,71045.00514829082,367761.54453636,485370.2379535576,46.26,1863.8111999999999,10524.972,2020
CO-504,Colorado Springs/El Paso County CoC,1339.0,981.0,358.0,284.0,342131,319056,23075,728310,5014.0,4412.0,602.0,64656,54151.0,265298.3617158363,353883.1963117107,46.260000000000005,1863.8112,10524.972,2020
CT-505,Connecticut Balance of State CoC,2208.0,1940.0,268.0,133.0,1414373,1302248,112125,2614580,64114.0,58191.0,5923.0,252126,63601.462399314616,158071.38293390026,243571.41139773314,48.60000000000001,1092.9727,10201.384,2020
DE-500,Delaware Statewide CoC,1165.0,1015.0,150.0,267.0,486497,449965,36532,986809,13082.0,11901.0,1181.0,104400,56097.684987672386,158858.7405240987,260446.1965542934,54.48,2838.6246,11732.283,2020
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1044.0,681.0,363.0,188.0,360165,334373,25792,854684,4879.0,4239.0,640.0,82461,61988.28170996532,184529.65233472525,289999.35466828116,71.8,1420.6614000000002,8342.0209,2020
FL-501,Tampa/Hillsborough County CoC,1452.0,840.0,612.0,266.0,754964,698029,56935,1497957,15221.0,14459.0,762.0,175650,51848.0,170659.87982768504,254289.63289283038,71.8,1420.6614,8342.0209,2020
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2226.0,1418.0,808.0,592.0,477291,441651,35640,976802,12866.0,11836.0,1030.0,106309,59178.0,142940.85944983305,245520.7506504466,71.8,1420.6614,8342.0209,2020
FL-503,"Lakeland, Winterhaven/Polk County CoC",612.0,422.0,190.0,78.0,319951,289442,30509,744552,4487.0,3903.0,584.0,104836,39760.0,132778.57321814584,206750.2009280887,71.8,1420.6614,8342.0209,2020
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",904.0,451.0,453.0,76.0,296144,272463,23681,679948,5916.0,4988.0,928.0,74380,47193.42541488467,161651.30802278683,233704.35535595918,71.8,1420.6614,8342.020900000001,2020
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",351.0,96.0,255.0,183.0,127805,120333,7472,289468,2308.0,2032.0,276.0,28283,58663.26908673843,174203.2062080539,292835.9133929972,71.8,1420.6614000000002,8342.0209,2020
FL-506,Tallahassee/Leon County CoC,805.0,696.0,109.0,192.0,212579,199485,13094,450471,5775.0,5193.0,582.0,75428,45054.629372368036,95187.55152029022,181594.59664508424,71.8,1420.6614,8342.0209,2020
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2007.0,1548.0,459.0,489.0,1170190,1042289,127901,2263882,10482.0,9764.0,718.0,256855,48497.8782034576,180934.00555989952,272851.8123863873,71.8,1420.6614,8342.0209,2020
FL-508,"Gainesville/Alachua, Putnam Counties CoC",880.0,279.0,601.0,225.0,195420,183467,11953,435725,6401.0,5351.0,1050.0,75959,45025.7233530323,101046.78947023624,182659.6917522174,71.8,1420.6614,8342.0209,2020
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1379.0,188.0,1191.0,45.0,135695,126138,9557,324606,830.0,799.0,31.0,31586,86892.96780096486,158937.61140500364,276348.27592981694,71.8,1420.6614,8342.0209,2020
FL-510,"Jacksonville-Duval, Clay Counties CoC",1366.0,915.0,451.0,71.0,627423,584413,43010,1279611,17740.0,16999.0,741.0,170268,51455.02973638082,131260.35025348878,215812.47515748415,71.8,1420.6614,8342.0209,2020
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",746.0,372.0,374.0,184.0,226840,212065,14775,511503,5278.0,4810.0,468.0,58199,48154.19125987531,115898.72439686803,199725.00772648604,71.8,1420.6614,8342.0209,2020
FL-513,"Palm Bay, Melbourne/Brevard County CoC",940.0,366.0,574.0,245.0,281902,262203,19699,608459,5519.0,5022.0,497.0,59282,51507.0,156949.83820538645,241697.5828800342,71.8,1420.6614,8342.0209,2020
FL-514,Ocala/Marion County CoC,523.0,373.0,150.0,130.0,139119,128785,10334,373513,2457.0,2285.0,172.0,55608,41553.0,113147.24520523421,174765.98185091966,71.8,1420.6614,8342.0209,2020
FL-515,"Panama City/Bay, Jackson Counties CoC",385.0,136.0,249.0,43.0,126078,118349,7729,290545,3602.0,2777.0,825.0,41360,45180.635412758784,101834.18389229223,185431.53582448256,71.8,1420.6614,8342.020899999998,2020
FL-517,"Hendry, Hardee, Highlands Counties CoC",403.0,48.0,355.0,98.0,80630,74603,6027,232769,723.0,664.0,59.0,41164,35297.19715254179,77925.18703104029,147557.02185263208,71.8,1420.6614,8342.0209,2020
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",578.0,84.0,494.0,65.0,54132,50757,3375,140508,923.0,840.0,83.0,22273,36111.55112876135,74827.87064188109,146827.93363108815,71.8,1420.6614,8342.0209,2020
FL-519,Pasco County CoC,898.0,210.0,688.0,265.0,241029,222948,18081,570412,2353.0,2070.0,283.0,64340,45461.0,131427.98250717134,222327.47798479555,71.8,1420.6614,8342.0209,2020
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",703.0,279.0,424.0,58.0,308252,280918,27334,866312,1722.0,1559.0,163.0,93914,45836.00116355308,158122.08005711465,230962.3653096517,71.8,1420.6614,8342.0209,2020
FL-600,Miami-Dade County CoC,3560.0,2540.0,1020.0,524.0,1280601,1175315,105286,2707303,49500.0,45540.0,3960.0,399797,57213.0,192950.24009892927,317480.61111757264,71.8,1420.6614,8342.0209,2020
FL-601,Ft Lauderdale/Broward County CoC,2211.0,1227.0,984.0,654.0,1021788,926316,95472,1958105,16321.0,14852.0,1469.0,214119,55908.0,148986.91421325,280996.1753459921,71.8,1420.6614,8342.0209,2020
FL-602,Punta Gorda/Charlotte County CoC,169.0,93.0,76.0,23.0,71472,65990,5482,194711,818.0,809.0,9.0,18781,45606.0,143644.48972326663,224604.68964951357,71.8,1420.6613999999997,8342.0209,2020
FL-603,"Ft Myers, Cape Coral/Lee County CoC",444.0,233.0,211.0,93.0,345536,318852,26684,790767,4858.0,4372.0,486.0,81863,54707.0,128718.27419357128,241085.74751691634,71.8,1420.6614,8342.0209,2020
FL-604,Monroe County CoC,421.0,243.0,178.0,31.0,44503,40864,3639,73900,1385.0,1357.0,28.0,7404,106583.0,375367.43252169335,582804.5770742337,71.8,1420.6614,8342.0209,2020
FL-605,West Palm Beach/Palm Beach County CoC,1510.0,480.0,1030.0,241.0,716221,658815,57406,1507600,11083.0,10085.0,998.0,178480,87478.0,159649.0151776531,302760.55091703834,71.8,1420.6614,8342.0209,2020
FL-606,Naples/Collier County CoC,603.0,435.0,168.0,80.0,176561,163700,12861,392973,935.0,897.0,38.0,39254,103865.0,211207.5444513217,361644.16782030463,71.8,1420.6614000000002,8342.0209,2020
