coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,year
KS-507,Kansas Balance of State CoC,1056.0,822.0,234.0,100.0,737164,713457,23707,1450364,17833.0,14910.0,2923.0,173610,44973.278874130905,60887.4452290882,110777.14180926065,54.68,1616.8081,9543.1607,2019
KY-500,Kentucky Balance of State CoC,2221.0,1571.0,650.0,202.0,1494001,1429876,64125,3380638,56888.0,51273.0,5615.0,538663,40739.804473593445,58814.560289282934,121236.1944600248,55.62,2623.6220999999996,8881.7996,2019
KY-501,Louisville-Jefferson County CoC,1071.0,953.0,118.0,220.0,399366,383947,15419,767785,21224.0,18040.0,3184.0,106552,54293.0,90650.91040986693,172283.272063165,55.62,2623.6221,8881.7996,2019
KY-502,Lexington-Fayette County CoC,787.0,776.0,11.0,112.0,175611,170050,5561,323922,6484.0,5641.0,843.0,47657,51983.0,118944.11839055081,191747.83037154595,55.620000000000005,2623.6221,8881.7996,2019
MA-503,Cape Cod Islands CoC,371.0,333.0,38.0,62.0,125424,120344,5080,230384,3639.0,3286.0,353.0,14844,76231.96783630807,327063.65646442195,471079.5101174627,48.14000000000001,3511.4762,11796.853999999998,2019
MA-504,Springfield/Hampden County CoC,2443.0,2401.0,42.0,200.0,231504,221632,9872,465749,20198.0,18784.0,1414.0,62331,52905.0,153952.82720143732,216735.00455200064,48.14,3511.4762,11796.854,2019
MA-506,Worcester City & County CoC,1593.0,1424.0,169.0,84.0,452272,437449,14823,829327,18529.0,17973.0,556.0,75546,58196.0,204886.63593177169,298244.80309655546,48.14,3511.4762000000005,11796.854,2019
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",546.0,512.0,34.0,74.0,198317,192186,6131,357089,7823.0,7380.0,443.0,35066,55439.768573100824,167590.2434434361,249122.40492911282,48.14,3511.4762,11796.854,2019
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1088.0,1075.0,13.0,212.0,289126,280017,9109,521841,9534.0,9152.0,382.0,37885,68792.0,285407.99853838846,400960.04536590277,48.14,3511.4762,11796.854,2019
MD-502,Harford County CoC,228.0,205.0,23.0,19.0,146415,141813,4602,255594,3287.0,2826.0,461.0,16851,59653.0,182836.39300835668,282113.8844219464,54.61,2262.2202000000007,10614.982,2019
MD-503,Annapolis/Anne Arundel County CoC,302.0,241.0,61.0,71.0,327478,318030,9448,579895,6030.0,5246.0,784.0,32641,68314.0,241673.2594162011,352336.4899738501,54.61,2262.2202,10614.982,2019
MD-504,Howard County CoC,201.0,129.0,72.0,36.0,195361,190301,5060,325951,3740.0,3104.0,636.0,16216,78033.0,297884.6186999967,448731.28403176606,54.61,2262.2202,10614.982,2019
MD-505,Baltimore County CoC,735.0,486.0,249.0,183.0,468143,451794,16349,828503,12145.0,10080.0,2065.0,71496,62543.0,157329.0931471735,244630.77647450275,54.61,2262.2202,10614.981999999998,2019
MD-506,Carroll County CoC,144.0,121.0,23.0,44.0,98869,96144,2725,168774,1381.0,1325.0,56.0,8359,63409.0,226224.38227831505,329298.4004492609,54.61000000000001,2262.2202,10614.982,2019
MD-509,Frederick City & County CoC,286.0,208.0,78.0,39.0,140663,136461,4202,260609,2343.0,2249.0,94.0,14538,62804.0,228699.60302112077,335062.0960781555,54.61,2262.2202,10614.982,2019
MD-511,Mid-Shore Regional CoC,164.0,146.0,18.0,23.0,65322,62923,2399,121985,1704.0,1496.0,208.0,14602,56482.432143296304,122363.54470856792,223626.86769397598,54.61,2262.2202,10614.982,2019
MD-513,"Wicomico, Somerset, Worcester Counties CoC",275.0,238.0,37.0,48.0,87907,83179,4728,181875,2865.0,2399.0,466.0,25723,44079.691947766325,96513.3311851336,178440.39316073744,54.61,2262.2202,10614.982000000002,2019
MD-601,Montgomery County CoC,647.0,572.0,75.0,11.0,576770,560710,16060,1051129,12666.0,11652.0,1014.0,75836,86221.0,288464.4109297738,467334.4881321585,54.61,2262.2202,10614.982,2019
ME-500,Maine Balance of State CoC,2106.0,2011.0,95.0,226.0,697789,677458,20331,1345770,26608.0,24454.0,2154.0,141565,50421.08289009266,141441.7117186658,215496.00070286283,43.09,2611.3561,9211.8134,2019
MI-500,Michigan Balance of State CoC,1298.0,1164.0,134.0,81.0,895495,852873,42622,1938848,23335.0,21598.0,1737.0,257428,41571.97788738467,52299.233854321734,116025.87783756338,46.64,1885.0161,9278.7327,2019
MI-503,"St. Clair Shores, Warren/Macomb County CoC",265.0,245.0,20.0,12.0,457368,438286,19082,872389,9201.0,8372.0,829.0,74273,47730.0,101050.08481375327,173404.8709687548,46.64,1885.0161000000003,9278.7327,2019
MI-504,"Pontiac, Royal Oak/Oakland County CoC",425.0,382.0,43.0,47.0,689483,666319,23164,1257726,12520.0,11142.0,1378.0,96558,73468.0,148811.60637199553,251275.95201845255,46.64,1885.0160999999998,9278.7327,2019
MI-505,Flint/Genesee County CoC,450.0,402.0,48.0,51.0,181707,172581,9126,405702,6608.0,5748.0,860.0,66557,41940.0,26810.730701514036,107024.20285514387,46.64,1885.0161000000003,9278.7327,2019
MI-506,"Grand Rapids, Wyoming/Kent County CoC",759.0,743.0,16.0,121.0,362274,351702,10572,656800,10911.0,10256.0,655.0,72323,53799.0,144283.60553226186,214468.45022412727,46.64,1885.0161,9278.7327,2019
MI-507,"Portage, Kalamazoo City & County CoC",702.0,529.0,173.0,89.0,134327,129858,4469,265531,4171.0,3920.0,251.0,34247,49305.0,93131.74347807567,167301.88713084793,46.64,1885.0161,9278.7327,2019
MI-508,"Lansing, East Lansing/Ingham County CoC",476.0,466.0,10.0,40.0,151464,146063,5401,291426,6148.0,5656.0,492.0,47655,41298.0,62245.16285674918,129591.99365618132,46.64,1885.0161,9278.7327,2019
MI-509,Washtenaw County CoC,273.0,261.0,12.0,58.0,199232,193476,5756,368242,5927.0,5393.0,534.0,44991,61101.0,170954.42231482113,285287.43319186824,46.64,1885.0161,9278.7327,2019
MI-510,Saginaw City & County CoC,364.0,352.0,12.0,25.0,86970,82781,4189,190484,4116.0,3869.0,247.0,34239,41659.0,29620.885531421918,87612.182815318,46.64,1885.0161,9278.7327,2019
MI-511,Lenawee County CoC,123.0,120.0,3.0,6.0,46518,44693,1825,98519,609.0,584.0,25.0,11037,40866.0,66679.96701243338,140281.71827200468,46.64,1885.0161,9278.7327,2019
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",168.0,164.0,4.0,44.0,87523,83933,3590,173834,968.0,881.0,87.0,14558,51755.79154825868,113067.50452904336,208745.51321784957,46.64,1885.0161,9278.7327,2019
MI-514,Battle Creek/Calhoun County CoC,241.0,203.0,38.0,38.0,62615,60018,2597,133806,2508.0,2232.0,276.0,18085,40428.0,41503.641526841435,98629.2621478582,46.64,1885.0161,9278.7327,2019
MI-515,Monroe City & County CoC,167.0,167.0,0.0,5.0,75885,72902,2983,150412,1902.0,1787.0,115.0,15223,48696.0,99088.42177405111,171529.29845399893,46.64,1885.0160999999998,9278.7327,2019
MI-516,"Norton Shores, Muskegon City & County CoC",136.0,120.0,16.0,14.0,77412,74072,3340,173645,2527.0,2324.0,203.0,22745,39769.0,61139.698919272574,129903.0745847547,46.64,1885.0161000000003,9278.7327,2019
MI-517,Jackson City & County CoC,113.0,100.0,13.0,7.0,74743,71920,2823,158357,2509.0,2383.0,126.0,20500,40413.0,63109.132245350826,135010.75553396947,46.64,1885.0160999999998,9278.7327,2019
MI-518,Livingston County CoC,89.0,89.0,0.0,7.0,106170,102733,3437,192058,416.0,386.0,30.0,8415,59097.0,175565.57487024192,266321.43218969513,46.63999999999999,1885.0161,9278.7327,2019
MI-519,Holland/Ottawa County CoC,225.0,208.0,17.0,5.0,162118,157601,4517,291460,1025.0,973.0,52.0,22048,49484.0,160360.146014641,225270.20021647064,46.64,1885.0161,9278.7327,2019
MI-523,Eaton County CoC,114.0,114.0,0.0,0.0,57608,55626,1982,110119,1045.0,971.0,74.0,8093,43537.0,102980.03195135722,169622.04408119989,46.64,1885.0160999999998,9278.7327,2019
MN-500,Minneapolis/Hennepin County CoC,3400.0,2797.0,603.0,758.0,711222,691369,19853,1265159,26087.0,24000.0,2087.0,120032,76131.0,201394.1384290832,292903.15154790576,42.98,2992.7848,11001.206,2019
MN-501,St. Paul/Ramsey County CoC,1579.0,1262.0,317.0,456.0,290194,281441,8753,549632,14388.0,10934.0,3454.0,66340,55442.0,176355.55674925167,245094.36314440216,42.98,2992.7848,11001.206,2019
MN-502,Rochester/Southeast Minnesota CoC,452.0,394.0,58.0,46.0,383515,371562,11953,678212,9755.0,8704.0,1051.0,59431,50851.16051028292,121684.57817202488,191585.4843708138,42.98,2992.7848,11001.206,2019
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties CoC",686.0,450.0,236.0,130.0,733512,712139,21373,1303664,9899.0,9473.0,426.0,71080,61950.864195068665,209342.74387466552,291440.6360250518,42.98,2992.7848000000004,11001.206,2019
MN-504,Northeast Minnesota CoC,90.0,62.0,28.0,6.0,61981,58686,3295,125222,1968.0,1729.0,239.0,12995,45272.3447317564,78078.79303473761,152989.26115757556,42.98,2992.7848,11001.205999999998,2019
MN-505,St. Cloud/Central Minnesota CoC,679.0,466.0,213.0,143.0,410753,394702,16051,759790,6885.0,6355.0,530.0,62874,47329.215022572025,146312.5132833455,217804.26115034355,42.98,2992.7848,11001.206,2019
MN-506,Northwest Minnesota CoC,268.0,260.0,8.0,27.0,88150,84016,4134,166014,3223.0,2674.0,549.0,18713,46674.62649535581,71592.69899509723,149482.03029893796,42.98,2992.7848,11001.206,2019
MN-508,Moorhead/West Central Minnesota CoC,216.0,215.0,1.0,16.0,134421,129501,4920,245816,4316.0,3669.0,647.0,24581,47221.60505418687,112902.2891243917,195035.158406561,42.98,2992.7848,11001.206,2019
MN-511,Southwest Minnesota CoC,88.0,82.0,6.0,8.0,149502,144052,5450,268148,4560.0,3769.0,791.0,24622,49833.508584811374,67428.06862493009,137117.8740468138,42.98,2992.7848,11001.206,2019
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",438.0,311.0,127.0,29.0,47593,46136,1457,94756,1507.0,1180.0,327.0,8977,41741.60433112415,100840.58236125082,188528.51645991165,54.7,1634.053,8219.0863,2019
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",492.0,411.0,81.0,121.0,213180,207382,5798,422056,3078.0,2861.0,217.0,55961,43950.40572341111,96000.08143667736,158053.5441303898,54.70000000000001,1634.053,8219.086300000003,2019
MO-602,"Joplin/Jasper, Newton Counties CoC",237.0,188.0,49.0,32.0,84053,81507,2546,179557,2285.0,2127.0,158.0,29769,40690.39489410048,65361.68632648469,123213.7654772151,54.7,1634.053,8219.0863,2019
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",255.0,218.0,37.0,92.0,58801,57060,1741,115713,2252.0,2040.0,212.0,15982,40582.23082972527,49610.267683400896,112707.47722385816,54.7,1634.053,8219.0863,2019
MO-606,Missouri Balance of State CoC,1362.0,1003.0,359.0,272.0,1150502,1110748,39754,2451151,28083.0,24019.0,4064.0,345676,40286.966829052966,68818.16038556509,132033.89404288042,54.7,1634.053,8219.0863,2019
MS-500,"Jackson/Rankin, Madison Counties CoC",408.0,302.0,106.0,173.0,268128,254999,13129,567171,10360.0,9700.0,660.0,87138,46160.2100971312,69046.42241386634,135661.80030860077,63.5,2129.8045,8966.0035,2019
MS-501,Mississippi Balance of State CoC,480.0,291.0,189.0,31.0,796484,751569,44915,1885324,33976.0,31629.0,2347.0,383079,37373.592118383895,55518.360799565635,109465.92840980276,63.5,2129.8045,8966.0035,2019
MS-503,Gulf Port/Gulf Coast Regional CoC,296.0,105.0,191.0,19.0,204030,192369,11661,497395,10294.0,9949.0,345.0,81453,37796.15102483941,67788.51711574954,134496.7243250588,63.5,2129.8045,8966.0035,2019
MT-500,Montana Statewide CoC,1357.0,1012.0,345.0,228.0,543742,524685,19057,1070123,13806.0,11978.0,1828.0,130974,50099.2834571353,174939.6581829832,265040.551683529,44.18,2142.4774,9136.916,2019
NC-500,Winston-Salem/Forsyth County CoC,454.0,430.0,24.0,78.0,186866,179938,6928,382118,7745.0,6815.0,930.0,56484,48756.0,85179.45538875468,160135.15816422165,58.7,1507.2763,8709.4246,2019
NC-501,Asheville/Buncombe County CoC,580.0,502.0,78.0,123.0,139343,135189,4154,262049,4408.0,3746.0,662.0,31045,50804.0,194559.41503182295,288334.06714600837,58.7,1507.2763,8709.4246,2019
NC-502,Durham City & County CoC,361.0,280.0,81.0,82.0,171663,165859,5804,322969,5641.0,5020.0,621.0,43009,51380.0,164338.98319942012,248597.69998395198,58.7,1507.2763,8709.4246,2019
NC-503,North Carolina Balance of State CoC,2989.0,2139.0,850.0,299.0,2325295,2231313,93982,5222632,63120.0,56809.0,6311.0,757483,41807.54077541745,83987.93771882946,160261.07336800467,58.70000000000001,1507.2763,8709.4246,2019
NC-504,"Greensboro, High Point CoC",586.0,525.0,61.0,44.0,260375,249769,10606,537872,10457.0,5333.0,5124.0,83004,47013.0,76102.81821138186,157664.55102865107,58.7,1507.2763,8709.4246,2019
NC-505,Charlotte/Mecklenburg County CoC,1742.0,1546.0,196.0,247.0,615263,592866,22397,1113283,10835.0,7476.0,3359.0,112863,62846.0,166852.19497273045,250739.165035459,58.7,1507.2763,8709.4246,2019
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",431.0,269.0,162.0,49.0,204261,195961,8300,440308,4630.0,3650.0,980.0,51059,46135.409790419435,158531.0449546509,254255.6521018016,58.7,1507.2763,8709.4246,2019
NC-507,Raleigh/Wake County CoC,970.0,734.0,236.0,126.0,586424,566568,19856,1112795,7384.0,7088.0,296.0,87375,62657.0,204624.24690705395,312110.08468423376,58.7,1507.2763,8709.4246,2019
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",324.0,252.0,72.0,60.0,200839,193203,7636,409243,4784.0,4555.0,229.0,51622,42006.8593231894,82566.55329214799,162218.68488583842,58.7,1507.2762999999998,8709.4246,2019
NC-511,Fayetteville/Cumberland County CoC,329.0,103.0,226.0,122.0,126717,120305,6412,336524,3867.0,3712.0,155.0,57342,39799.0,53895.77165642337,119441.81889695753,58.7,1507.2763,8709.4246,2019
NC-513,Chapel Hill/Orange County CoC,131.0,102.0,29.0,24.0,79247,76619,2628,148192,1194.0,1014.0,180.0,18446,65530.0,173146.10587408097,303613.72607623937,58.7,1507.2763,8709.4246,2019
NC-516,Northwest North Carolina CoC,417.0,164.0,253.0,17.0,97187,93505,3682,213399,2729.0,2635.0,94.0,34027,37620.721802820066,95800.03279931586,175152.8809190175,58.7,1507.2763,8709.4246,2019
ND-500,North Dakota Statewide CoC,557.0,545.0,12.0,73.0,380279,372206,8073,694302,12546.0,9781.0,2765.0,67007,58737.94056332835,124351.54764542142,199594.1983786064,40.8,2011.4692,11721.175,2019
NE-500,Nebraska Balance of State CoC,506.0,486.0,20.0,11.0,457513,443361,14152,835860,11663.0,10219.0,1444.0,83674,49816.70965472687,73117.85755833777,140849.46558745418,49.88,1483.9997,9379.8111,2019
NE-501,"Omaha, Council Bluffs CoC",1410.0,1364.0,46.0,343.0,451858,437544,14314,851158,12864.0,11590.0,1274.0,78037,58811.55821833314,122804.64163770825,194271.55290154897,49.68905460560789,1549.269883784914,9489.8569801474,2019
NH-500,New Hampshire Balance of State CoC,669.0,574.0,95.0,167.0,535523,521980,13543,943045,13461.0,12643.0,818.0,67815,64242.759311591704,187600.45326386788,276757.4386107776,44.49,1805.7723999999998,8524.1305,2019
NJ-500,Atlantic City & County CoC,357.0,261.0,96.0,73.0,125970,119780,6190,263653,7573.0,6815.0,758.0,29057,51247.0,104072.77986773557,188208.85555151032,51.93,2054.1545,10401.128,2019
NJ-501,Bergen County CoC,271.0,267.0,4.0,11.0,502296,488074,14222,932256,11615.0,11150.0,465.0,52980,88241.0,330989.4592267,465431.11618214566,51.93,2054.1545,10401.127999999999,2019
NJ-502,Burlington County CoC,518.0,495.0,23.0,36.0,240757,233093,7664,446160,1773.0,1737.0,36.0,24961,63528.0,141032.5352751794,231957.8298276919,51.93,2054.1545,10401.128,2019
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",979.0,760.0,219.0,230.0,535942,512997,22945,1039587,20996.0,19978.0,1018.0,103357,54267.982002468285,106342.46347076591,191610.07152583048,51.93,2054.1545,10401.128000000002,2019
NJ-504,Newark/Essex County CoC,2235.0,1897.0,338.0,271.0,386078,369373,16705,802162,34092.0,30682.0,3410.0,107745,65927.0,225008.17923290306,383821.0875363911,51.92999999999999,2054.1545,10401.128,2019
NJ-506,"Jersey City, Bayonne/Hudson County CoC",890.0,623.0,267.0,226.0,376142,364173,11969,674030,23830.0,22400.0,1430.0,90976,67570.0,262729.4317005044,425919.4004968782,51.93,2054.1545,10401.128,2019
NJ-507,New Brunswick/Middlesex County CoC,620.0,485.0,135.0,131.0,455419,441596,13823,824394,10236.0,9724.0,512.0,68514,62665.0,222031.60621446036,332655.8843522794,51.93,2054.1545,10401.128,2019
NJ-508,Monmouth County CoC,359.0,305.0,54.0,58.0,341346,330796,10550,619687,10560.0,9609.0,951.0,37725,82270.0,269188.85535072704,425497.14004781144,51.93,2054.1545,10401.128,2019
NJ-509,Morris County CoC,388.0,346.0,42.0,65.0,267808,260524,7284,491577,3797.0,3683.0,114.0,25678,99140.0,286666.64871636155,430190.4858735318,51.93,2054.1545,10401.128,2019
NJ-510,Lakewood Township/Ocean County CoC,305.0,275.0,30.0,38.0,289325,279014,10311,607498,5748.0,5518.0,230.0,53950,53517.0,182921.0425446025,294246.04127137986,51.93,2054.1545,10401.128,2019
NJ-511,Paterson/Passaic County CoC,391.0,274.0,117.0,93.0,252808,242201,10607,501838,11766.0,10707.0,1059.0,65342,51203.0,232161.71295403445,333210.663235792,51.93,2054.1545,10401.128,2019
NJ-512,Salem County CoC,29.0,29.0,0.0,1.0,30428,28998,1430,62341,1476.0,1431.0,45.0,7000,50597.0,60611.082729900336,139104.42551922108,51.93,2054.1545,10401.128,2019
NJ-513,Somerset County CoC,301.0,295.0,6.0,7.0,178462,173269,5193,329998,2192.0,2126.0,66.0,17409,110466.0,258495.11989672921,408309.12240845436,51.93,2054.1545,10401.128,2019
NJ-514,Trenton/Mercer County CoC,448.0,364.0,84.0,70.0,211808,205315,6493,368047,7922.0,7367.0,555.0,41600,70675.0,109959.42603221977,244608.5212305947,51.93,2054.1545,10401.128,2019
NJ-515,Elizabeth/Union County CoC,437.0,398.0,39.0,68.0,288808,278481,10327,556664,9672.0,8898.0,774.0,50094,68867.0,238955.36752561343,362622.01687840093,51.93,2054.1545,10401.128,2019
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",334.0,306.0,28.0,41.0,202871,196611,6260,371366,3707.0,3543.0,164.0,19287,71528.97078892522,176474.00619546167,286249.8588100333,51.93,2054.1544999999996,10401.128,2019
NM-501,New Mexico Balance of State CoC,1717.0,1025.0,692.0,865.0,477214,453202,24012,1082523,12725.0,10435.0,2290.0,182063,43939.01772618226,103821.31653675743,184513.3919393391,53.07,2997.8428,10573.645,2019
NV-500,Las Vegas/Clark County CoC,5530.0,2213.0,3317.0,622.0,1134950,1086341,48609,2275884,16010.0,15849.0,161.0,296767,49225.0,207314.00541781445,298107.7555908914,57.3,1518.6981,8244.5425,2019
NV-501,"Reno, Sparks/Washoe County CoC",1256.0,1030.0,226.0,76.0,255919,247198,8721,472381,5011.0,4459.0,552.0,49598,62994.0,267898.875393452,382581.15914894984,57.3,1518.6981,8244.5425,2019
NV-502,Nevada Balance of State CoC,383.0,119.0,264.0,17.0,127621,122418,5203,283664,1139.0,929.0,210.0,31756,49543.60402095437,160648.63474089126,261846.17704193166,57.3,1518.6981,8244.5425,2019
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",849.0,814.0,35.0,97.0,370978,356235,14743,742605,18726.0,17415.0,1311.0,90791,54174.0,100846.59198559549,160466.26775054785,48.17,3915.6572,15072.6,2019
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",240.0,233.0,7.0,3.0,138982,132969,6013,305352,5282.0,4850.0,432.0,43480,44631.19694319998,57823.30260704702,106790.82704864217,48.17,3915.6571999999996,15072.599999999999,2019
NY-503,Albany City & County CoC,750.0,716.0,34.0,91.0,161257,155650,5607,304752,8783.0,7641.0,1142.0,33970,61876.0,161913.1377410578,237104.14667489452,48.17,3915.6572,15072.599999999999,2019
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",732.0,719.0,13.0,30.0,316265,303479,12786,654254,15129.0,13784.0,1345.0,89000,51010.61724956974,85862.11784238149,139053.83642180875,48.17,3915.6571999999996,15072.599999999999,2019
NY-507,Schenectady City & County CoC,372.0,350.0,22.0,24.0,78250,75383,2867,155548,3737.0,3475.0,262.0,18363,54310.0,120168.63222241044,183462.8530193216,48.17,3915.6571999999996,15072.6,2019
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",924.0,891.0,33.0,31.0,620945,595051,25894,1265999,31149.0,28318.0,2831.0,158236,50382.05521884299,101598.21391657452,164550.0460587244,48.17,3915.6572,15072.6,2019
NY-510,Ithaca/Tompkins County CoC,171.0,171.0,0.0,55.0,50489,48733,1756,101971,2727.0,2536.0,191.0,15079,46052.0,140262.7090476839,219121.92725693915,48.17,3915.6572,15072.600000000002,2019
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",318.0,309.0,9.0,0.0,202663,193799,8864,437305,5800.0,4978.0,822.0,64456,44542.1941939836,68371.55863612302,118425.64308226563,48.17,3915.6572,15072.6,2019
NY-512,Troy/Rensselaer County CoC,199.0,189.0,10.0,9.0,83111,80119,2992,158981,2469.0,2913.0,-444.0,17506,50481.0,128677.60571986593,194204.39112190576,48.17,3915.6572,15072.599999999999,2019
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",205.0,204.0,1.0,149.0,130427,125562,4865,258891,4088.0,3742.0,346.0,26311,49534.30488893009,90404.10142565082,153517.14088629675,48.17,3915.6572000000006,15072.600000000002,2019
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",96.0,96.0,0.0,2.0,55549,53048,2501,126636,2611.0,2402.0,209.0,19896,41443.0,46741.99263617446,91935.72550577384,48.17,3915.6572,15072.6,2019
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",168.0,154.0,14.0,6.0,166288,159262,7026,360471,8187.0,7304.0,883.0,46309,45775.829032016445,73758.9963623095,126996.46826514644,48.17,3915.6572000000006,15072.6,2019
NY-519,"Columbia, Greene Counties CoC",200.0,196.0,4.0,20.0,52626,50763,1863,106793,1558.0,1379.0,179.0,11472,53515.8106711114,136803.83615097334,216864.06766174673,48.17,3915.6572,15072.600000000002,2019
NY-520,"Franklin, Essex Counties CoC",24.0,21.0,3.0,0.0,37386,35659,1727,87089,1958.0,1813.0,145.0,12355,42713.971190391436,55787.3045037086,119505.60710538042,48.17000000000001,3915.6572,15072.6,2019
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",53.0,49.0,4.0,0.0,56810,53788,3022,136472,3172.0,2940.0,232.0,18376,48556.06435019638,73596.87539750508,136140.65197743758,48.17,3915.6572,15072.6,2019
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",268.0,261.0,7.0,43.0,185080,178501,6579,359221,4300.0,3902.0,398.0,27231,63761.20911917733,158479.3942502962,241254.67588394857,48.17,3915.6571999999996,15072.6,2019
NY-600,New York City CoC,78604.0,74982.0,3622.0,6226.0,4266067,4098032,168035,8342925,394179.0,364734.0,29445.0,1320177,77027.7769560436,301389.03474710346,598912.991415454,48.17,3915.6572,15072.6,2019
NY-601,Poughkeepsie/Dutchess County CoC,533.0,523.0,10.0,31.0,148361,143255,5106,293934,4686.0,3983.0,703.0,23693,58417.0,201798.613642761,288680.25886660843,48.17,3915.6571999999996,15072.600000000002,2019
NY-602,"Newburgh, Middletown/Orange County CoC",589.0,538.0,51.0,57.0,191721,184795,6926,384950,5273.0,4640.0,633.0,46013,53287.0,166489.63246487072,261030.6672089093,48.17,3915.6572,15072.6,2019
NY-603,"Nassau, Suffolk Counties CoC",3843.0,3797.0,46.0,109.0,1526356,1474329,52027,2834398,25382.0,22349.0,3033.0,172355,81738.63730746352,351587.432321162,480758.6544499795,48.17,3915.6572,15072.6,2019
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1812.0,1780.0,32.0,130.0,498184,480302,17882,968467,22972.0,21363.0,1609.0,79545,112037.0,371571.6833749733,587863.9388260263,48.17,3915.6572,15072.6,2019
NY-606,Rockland County CoC,182.0,139.0,43.0,36.0,159731,154304,5427,326352,6395.0,5691.0,704.0,40031,62206.0,304451.4785648916,448080.01197949913,48.17,3915.6572,15072.599999999999,2019
NY-608,Kingston/Ulster County CoC,432.0,390.0,42.0,25.0,89940,86710,3230,177933,3408.0,2964.0,444.0,20451,52554.0,152094.93466959088,235171.8631206395,48.169999999999995,3915.6572,15072.6,2019
OH-500,Cincinnati/Hamilton County CoC,1082.0,1051.0,31.0,69.0,420158,404026,16132,818653,25299.0,23781.0,1518.0,116077,61458.0,87741.27947964624,162475.10756456843,50.88,2515.0846,9576.2841,2019
OH-501,Toledo/Lucas County CoC,611.0,599.0,12.0,48.0,211993,202047,9946,428888,12188.0,11334.0,854.0,75402,47719.0,34475.839524182345,100210.35556826234,50.88,2515.0846000000006,9576.2841,2019
OH-502,Cleveland/Cuyahoga County CoC,1618.0,1512.0,106.0,226.0,627902,601190,26712,1235574,38440.0,35364.0,3076.0,195758,55998.0,60631.04013757375,129111.22093798022,50.88,2515.0846,9576.2841,2019
OH-503,Columbus/Franklin County CoC,1907.0,1525.0,382.0,97.0,703584,678439,25145,1318766,24534.0,22325.0,2209.0,172890,51467.0,93426.0801617983,185258.37166226978,50.88,2515.0846,9576.2841,2019
OH-504,Youngstown/Mahoning County CoC,148.0,139.0,9.0,18.0,104172,98147,6025,227510,5265.0,4896.0,369.0,40346,44315.0,30856.88531483586,87057.32621805162,50.88,2515.0846,9576.2841,2019
OH-505,"Dayton, Kettering/Montgomery County CoC",681.0,632.0,49.0,28.0,254041,243251,10790,532139,12353.0,11611.0,742.0,78917,48143.0,49846.42839893082,112896.79778891947,50.88,2515.0846,9576.2841,2019
OH-506,Akron/Summit County CoC,546.0,459.0,87.0,54.0,274992,263139,11853,540814,13809.0,13532.0,277.0,75226,53580.0,61568.0872732427,135378.45931666213,50.88,2515.0846,9576.2841,2019
OH-507,Ohio Balance of State CoC,3479.0,2665.0,814.0,330.0,2579791,2468490,111301,5236343,76343.0,70296.0,6047.0,607265,45606.40314757838,72881.50499740895,138703.85324448295,50.88,2515.0846,9576.2841,2019
OH-508,"Canton, Massillon, Alliance/Stark County CoC",273.0,256.0,17.0,4.0,187369,178826,8543,370723,6527.0,6070.0,457.0,46938,46384.0,59968.8906600929,129120.47553363464,50.88,2515.0846,9576.2841,2019
OK-500,North Central Oklahoma CoC,178.0,171.0,7.0,3.0,98826,95809,3017,218558,2225.0,2099.0,126.0,35570,41637.00571930563,42005.48298557364,104993.1309192855,60.14000000000001,1784.268,7870.8153,2019
OK-501,Tulsa City & County CoC,1188.0,892.0,296.0,236.0,323631,313843,9788,652166,13022.0,11850.0,1172.0,91457,64444.0,65361.20031029961,141479.9444158574,60.14,1784.2679999999998,7870.8153,2019
