coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
OH-508,"Canton, Massillon, Alliance/Stark County CoC",472.0,412.0,60.0,239.0,233.0,274.0,10.0,174.0,0.0,187170,177206,9964,374798,0,0.0,0.0,41906.0,41337.68050417412,103289.86863659792,50.88
OK-500,North Central Oklahoma CoC,194.0,160.0,34.0,103.0,91.0,159.0,13.0,16.0,0.0,103998,99748,4250,222443,0,0.0,0.0,39350.99973026798,30725.357673939066,91283.7849894407,60.14
OK-501,Tulsa City & County CoC,956.0,825.0,131.0,594.0,358.0,552.0,54.0,239.0,1.0,317640,304809,12831,640851,0,0.0,0.0,63829.0,50511.67064124378,121242.87808800132,60.14
OK-503,Oklahoma Balance of State CoC,237.0,121.0,116.0,110.0,127.0,187.0,38.0,10.0,0.0,152115,145934,6181,318924,0,0.0,0.0,40548.743299344045,24871.673685898826,76493.54519698882,60.14
OK-504,Norman/Cleveland County CoC,133.0,117.0,16.0,79.0,54.0,120.0,5.0,8.0,1.0,138083,133326,4757,274041,0,0.0,0.0,43775.0,84736.52244900644,150622.41076437462,60.14
OK-505,Northeast Oklahoma CoC,343.0,319.0,24.0,204.0,139.0,251.0,16.0,20.0,0.0,130854,124399,6455,304365,0,0.0,0.0,36060.357790810376,29763.94293319755,81364.98438596229,60.14000000000001
OK-506,Southwest Oklahoma Regional CoC,161.0,120.0,41.0,115.0,46.0,96.0,7.0,50.0,0.0,180879,172708,8171,408764,0,0.0,0.0,38818.372520574216,27056.995437026933,85048.10846773624,60.14
OK-507,Southeastern Oklahoma Regional CoC,453.0,237.0,216.0,222.0,231.0,287.0,24.0,63.0,0.0,262068,247840,14228,611270,0,0.0,0.0,35769.86625713678,26147.69737999041,74719.44793724491,60.12956999361984
OR-500,"Eugene, Springfield/Lane County CoC",1473.0,757.0,716.0,1006.0,462.0,1265.0,107.0,35.0,7.0,172635,162845,9790,362257,0,0.0,0.0,40487.0,146348.28443796706,224442.60262039732,51.27
OR-501,"Portland, Gresham/Multnomah County CoC",3801.0,1914.0,1887.0,2430.0,1351.0,2664.0,425.0,573.0,38.0,430032,409444,20588,790723,0,0.0,0.0,50163.0,205219.6501709907,306216.71496137726,51.27
OR-502,"Medford, Ashland/Jackson County CoC",729.0,347.0,382.0,533.0,193.0,637.0,41.0,23.0,4.0,98070,91580,6490,211587,0,0.0,0.0,41427.0,158818.4806753194,236658.4409751589,51.27
OR-503,Central Oregon CoC,594.0,189.0,405.0,371.0,223.0,539.0,55.0,6.0,3.0,103463,97177,6286,218397,0,0.0,0.0,44939.451943021195,160297.9633540739,263151.2034060922,51.27
OR-505,Oregon Balance of State CoC,5544.0,2242.0,3302.0,2994.0,2531.0,4700.0,781.0,147.0,64.0,667160,626253,40907,1461080,0,0.0,0.0,38155.5003120979,126060.57491111157,197519.29500869362,51.27
OR-506,"Hillsboro, Beaverton/Washington County CoC",591.0,196.0,395.0,356.0,234.0,480.0,84.0,40.0,8.0,301910,288084,13826,572955,0,0.0,0.0,53345.0,235942.84100291782,338213.72260093427,51.27
OR-507,Clackamas County CoC,494.0,186.0,308.0,287.0,203.0,419.0,52.0,23.0,9.0,205321,195069,10252,399852,0,0.0,0.0,50742.0,218978.58062073574,326153.4712713431,51.27000000000001
PA-501,Harrisburg/Dauphin County CoC,402.0,386.0,16.0,194.0,208.0,122.0,127.0,229.0,1.0,141032,134341,6691,273195,0,0.0,0.0,46350.0,61040.79194546812,141803.79422768985,49.8
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",436.0,376.0,60.0,252.0,184.0,141.0,14.0,287.0,0.0,291615,277085,14530,563434,0,0.0,0.0,58790.0,76088.00141330004,177786.0540956582,49.8
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",174.0,158.0,16.0,80.0,93.0,126.0,17.0,44.0,0.0,158870,148426,10444,318203,0,0.0,0.0,40509.0,34265.27068352003,92392.74725689256,49.8
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",429.0,426.0,3.0,196.0,233.0,198.0,28.0,173.0,4.0,440958,422288,18670,817432,0,0.0,0.0,73557.0,160481.40752583928,264252.33542011474,49.79999999999999
PA-505,Chester County CoC,612.0,597.0,15.0,402.0,210.0,319.0,62.0,288.0,0.0,277098,266346,10752,515098,0,0.0,0.0,76549.0,185681.7073735794,313321.41685200064,49.8
PA-506,Reading/Berks County CoC,561.0,557.0,4.0,374.0,187.0,384.0,192.0,170.0,2.0,212575,201893,10682,415218,0,0.0,0.0,45167.0,72509.77331048297,147682.62063621622,49.8
