state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,41641.0,26562.0,15079.0,22193.0,19291.0,25518.0,811.0,15060.0,14.0,2240486.0,2153085.0,87401.0,4891628.0,91524.0,83286.0,8238.0,41539.0,50928.83355382886,131561.67590046805,62.68
Alaska,25988.0,20089.0,5899.0,13973.0,12008.0,10303.0,1116.0,1066.0,559.0,355453.0,334243.0,21210.0,736624.0,7783.0,7860.0,-77.0,59618.0,157969.98086676115,273667.7608045616,32.03
Arizona,33922.0,17921.0,16001.0,21919.0,11732.0,23093.0,6961.0,2995.0,86.0,3328189.0,3168469.0,159720.0,7164228.0,41000.0,37720.0,3280.0,45466.0,159279.5550099338,244463.57919857765,65.97
Arkansas,29903.0,14217.0,15686.0,17000.0,12832.0,20055.0,595.0,8901.0,101.0,1351696.0,1302634.0,49062.0,3012161.0,50521.0,45468.0,5053.0,43384.0,44771.135741508624,121284.33381036199,60.09
California,147035.0,46124.0,100911.0,96430.0,48832.0,86359.0,46164.0,39032.0,2554.0,19288083.0,18465147.0,822936.0,39437463.0,491113.0,442001.0,49112.0,61508.0,293827.6259211149,522249.94123583974,61.17
Colorado,262154.0,112037.0,150117.0,157711.0,103534.0,214980.0,85875.0,18751.0,1025.0,3049646.0,2957693.0,91953.0,5697155.0,61820.0,56256.0,5564.0,58453.0,236079.515797358,374960.94205005193,46.26
Connecticut,22648.0,19133.0,3515.0,13116.0,9501.0,12476.0,7511.0,8154.0,89.0,1931497.0,1855969.0,75528.0,3574561.0,82830.0,76203.0,6627.0,72926.0,153836.1431399741,256535.55016550655,48.6
Delaware,3246.0,2967.0,279.0,1773.0,1470.0,1218.0,210.0,1848.0,18.0,480155.0,462144.0,18011.0,966985.0,13030.0,11857.0,1173.0,52716.0,143225.4189216457,250997.8414982897,54.48
Florida,65709.0,37692.0,28017.0,40919.0,24558.0,35607.0,7512.0,26696.0,241.0,10106902.0,9736058.0,370844.0,21254926.0,195822.0,180156.0,15666.0,51520.0,129402.7707631797,227929.7053975842,71.8
Georgia,565701.0,281980.0,283721.0,295054.0,269284.0,235157.0,20912.0,305542.0,761.0,5121178.0,4915718.0,205460.0,10519389.0,135993.0,121033.0,14960.0,46855.0,81584.09382355215,178967.8996334453,62.300000000000004
Hawaii,10600.0,4465.0,6135.0,6169.0,4387.0,2865.0,1576.0,302.0,765.0,691982.0,675681.0,16301.0,1423102.0,22801.0,18924.0,3877.0,52164.0,328671.9439916396,593015.6627118625,72.95
Idaho,54764.0,28757.0,26007.0,29211.0,25509.0,45607.0,9214.0,813.0,91.0,862515.0,837515.0,25000.0,1752074.0,12533.0,11279.0,1254.0,43217.0,154495.06855156133,242249.61230133555,46.32
Illinois,21418.0,18726.0,2692.0,10703.0,10615.0,13285.0,1308.0,7200.0,39.0,6568223.0,6281768.0,286455.0,12724685.0,226660.0,206260.0,20400.0,56536.0,71595.43257484293,172054.77671766048,51.37
Indiana,327098.0,286649.0,40449.0,184003.0,142358.0,231182.0,14452.0,82209.0,1560.0,3385708.0,3270729.0,114979.0,6698481.0,92744.0,82542.0,10202.0,46945.0,69585.28954971804,141205.06619831256,51.81
Iowa,165934.0,153597.0,12337.0,90053.0,75498.0,105349.0,12142.0,47016.0,503.0,1714957.0,1671634.0,43323.0,3149900.0,40506.0,32809.0,7697.0,49163.0,63242.14457453395,137261.60970028,48.14
Kansas,93867.0,77449.0,16418.0,54262.0,38695.0,65140.0,11944.0,13038.0,212.0,1488029.0,1439334.0,48695.0,2912748.0,35074.0,30865.0,4209.0,50663.0,47735.714550356664,129446.87016868146,54.68
Kentucky,246697.0,164865.0,81832.0,140334.0,105766.0,202803.0,8449.0,28564.0,948.0,2054925.0,1968405.0,86520.0,4464273.0,85015.0,75663.0,9352.0,41974.0,43552.018846799845,128016.6611651082,55.62
Louisiana,21735.0,15896.0,5839.0,14719.0,6929.0,8979.0,497.0,11947.0,99.0,2112501.0,2010722.0,101779.0,4664450.0,93912.0,82642.0,11270.0,46057.0,51306.11355380157,147714.59800048955,66.74
Maine,40256.0,38688.0,1568.0,21264.0,18784.0,32656.0,1760.0,4688.0,128.0,703139.0,681336.0,21803.0,1340123.0,26513.0,24391.0,2122.0,48141.0,116168.27402505006,210645.0582829,43.09
Maryland,7378.0,5826.0,1552.0,4613.0,2746.0,2647.0,389.0,4340.0,39.0,3261069.0,3142323.0,118746.0,6042153.0,100087.0,89077.0,11010.0,60577.0,155937.26516148195,289752.67162855493,54.61
Massachusetts,18141.0,17219.0,922.0,9291.0,8798.0,10833.0,6900.0,5436.0,116.0,3809875.0,3678448.0,131427.0,6885720.0,195860.0,184108.0,11752.0,69693.0,245987.05923421928,405358.6964460215,48.14
Michigan,88419.0,76228.0,12191.0,45841.0,42450.0,69983.0,5154.0,10900.0,83.0,4940323.0,4734163.0,206160.0,9987286.0,145631.0,133980.0,11651.0,47457.0,56430.68533887083,144494.95394000778,46.64
Minnesota,32480.0,27706.0,4774.0,15692.0,16698.0,17420.0,3523.0,7653.0,335.0,3085631.0,2989056.0,96575.0,5608762.0,89982.0,82783.0,7199.0,56539.0,131339.39311011092,225440.72044786756,42.98
Mississippi,44066.0,23382.0,20684.0,25606.0,18288.0,19154.0,889.0,23834.0,128.0,1268437.0,1205739.0,62698.0,2982879.0,55739.0,52394.0,3345.0,37900.0,46547.037899021096,118114.56686408473,63.5
Missouri,138749.0,101511.0,37238.0,70455.0,68088.0,96384.0,6489.0,31575.0,109.0,3045868.0,2949913.0,95955.0,6125986.0,91753.0,83495.0,8258.0,47085.0,66214.21041344616,146138.75540034662,54.7
Montana,78680.0,57792.0,20888.0,46872.0,31304.0,53536.0,5600.0,2128.0,112.0,533821.0,513858.0,19963.0,1061818.0,13843.0,11904.0,1939.0,47612.0,139625.52041203078,242235.4506191044,44.18
Nebraska,53288.0,49994.0,3294.0,29243.0,23956.0,42796.0,8773.0,5470.0,42.0,1034219.0,1004265.0,29954.0,1925512.0,27855.0,24790.0,3065.0,51916.0,83770.20637726688,163719.63264784933,49.88
Nevada,11310.0,4677.0,6633.0,7444.0,3825.0,7900.0,1140.0,2410.0,160.0,1492832.0,1427372.0,65460.0,3030725.0,23440.0,22268.0,1172.0,49678.0,187963.05281358564,285322.4698236486,57.3
New Hampshire,7386.0,6256.0,1130.0,4199.0,3168.0,6576.0,228.0,403.0,50.0,767626.0,747413.0,20213.0,1355064.0,21312.0,20246.0,1066.0,60831.0,164962.21800378498,268906.0922419449,44.49
New Jersey,13071.0,10889.0,2182.0,7685.0,5352.0,5801.0,2505.0,6669.0,132.0,4609776.0,4426619.0,183157.0,8891730.0,165436.0,155509.0,9927.0,64914.0,167682.91287444424,312845.99698077067,51.93
New Mexico,40092.0,26524.0,13568.0,23969.0,15310.0,23970.0,17858.0,1626.0,231.0,950372.0,903759.0,46613.0,2093754.0,25819.0,21946.0,3873.0,41218.0,99013.48689450131,177204.54511278274,53.07
New York,419996.0,400101.0,19895.0,218278.0,199979.0,92595.0,147875.0,302901.0,4998.0,9842270.0,9440487.0,401783.0,19544098.0,592467.0,545069.0,47398.0,64849.0,129101.06306120144,284283.01321740873,48.17
North Carolina,246588.0,166274.0,80314.0,145570.0,100676.0,139193.0,12303.0,93467.0,1057.0,4915978.0,4719024.0,196954.0,10391358.0,123396.0,113524.0,9872.0,46352.0,88542.88015223353,183617.8548848971,58.7
North Dakota,28726.0,26182.0,2544.0,17119.0,11554.0,18232.0,5141.0,4028.0,106.0,412765.0,403000.0,9765.0,760062.0,13362.0,10422.0,2940.0,55396.0,96330.92914160638,196264.646775468,40.79999999999999
Ohio,242091.0,193934.0,48157.0,127302.0,114167.0,186022.0,9831.0,40787.0,777.0,5815556.0,5553771.0,261785.0,11680892.0,224569.0,211094.0,13475.0,48327.0,61874.00991897009,135423.97128695203,50.88
Oklahoma,18011.0,12412.0,5599.0,10070.0,7937.0,11445.0,1136.0,2250.0,34.0,1833033.0,1773131.0,59902.0,3943488.0,53072.0,48826.0,4246.0,46415.0,46953.95348895406,119091.765709945,60.14
Oregon,188634.0,56181.0,132453.0,106460.0,81329.0,164132.0,19104.0,4493.0,564.0,2080204.0,1996792.0,83412.0,4183538.0,52887.0,49184.0,3703.0,50567.0,219049.98980722448,339794.9533570231,51.27
Pennsylvania,91660.0,78122.0,13538.0,51291.0,40097.0,63820.0,14865.0,23396.0,375.0,6500147.0,6210096.0,290051.0,12809107.0,220602.0,198541.0,22061.0,55030.0,76522.40844159617,168064.59072299293,49.8
Rhode Island,5505.0,5250.0,255.0,3385.0,2100.0,3310.0,1340.0,1445.0,70.0,571152.0,547994.0,23158.0,1059338.0,37973.0,35314.0,2659.0,52659.0,194152.74532403806,281928.18928885384,49.27
South Carolina,48536.0,32242.0,16294.0,30671.0,17790.0,21313.0,1734.0,25113.0,136.0,2279435.0,2202382.0,77053.0,5091702.0,62570.0,58815.0,3755.0,44155.0,71143.17917915377,168710.51928669962,61.7
South Dakota,76494.0,57684.0,18810.0,48510.0,27984.0,21582.0,5610.0,5214.0,132.0,457339.0,444575.0,12764.0,879386.0,13814.0,11741.0,2073.0,52166.0,96296.55924392388,184058.90611874172,45.54
Tennessee,56935.0,23824.0,33111.0,32562.0,24246.0,38628.0,1467.0,16535.0,65.0,3260867.0,3147028.0,113839.0,6778180.0,104709.0,96332.0,8377.0,46870.0,74663.04043478165,168430.47334274705,58.11
Texas,1619667.0,760778.0,858889.0,963370.0,651875.0,1113654.0,574445.0,416245.0,8387.0,13684031.0,13149686.0,534345.0,28624564.0,277542.0,249787.0,27755.0,52005.0,99033.06442282564,193495.78764500524,65.97
Utah,24625.0,18424.0,6201.0,13996.0,10487.0,20436.0,4736.0,1725.0,173.0,1583707.0,1537391.0,46316.0,3155153.0,19006.0,17675.0,1331.0,45665.0,212979.62080360748,311522.00575257745,49.55
Vermont,12475.0,11613.0,862.0,6800.0,5631.0,11434.0,669.0,456.0,44.0,356454.0,347123.0,9331.0,624802.0,12866.0,11450.0,1416.0,52409.0,125453.35532105538,213488.07823196208,43.74
Virginia,75473.0,60506.0,14967.0,42159.0,33143.0,42033.0,4147.0,28473.0,253.0,4384673.0,4255221.0,129452.0,8510920.0,103501.0,95220.0,8281.0,56619.0,124238.17988133854,256541.48327897053,55.54
Washington,197950.0,110170.0,87780.0,112453.0,83929.0,161527.0,30578.0,10758.0,1179.0,3813320.0,3644273.0,169047.0,7526793.0,89999.0,82799.0,7200.0,60221.0,226510.12738220696,373148.27326111094,50.47
West Virginia,29820.0,25320.0,4500.0,18760.0,11011.0,23804.0,302.0,4714.0,48.0,793723.0,752732.0,40991.0,1805953.0,34273.0,30845.0,3428.0,41279.0,45090.766351703016,106104.63482036557,53.08
Wisconsin,218903.0,209885.0,9018.0,110703.0,107782.0,139340.0,16133.0,45566.0,1805.0,3129390.0,3036073.0,93317.0,5809319.0,77168.0,69451.0,7717.0,50908.0,93002.58523413201,178057.6610652135,44.71
Wyoming,14697.0,10120.0,4577.0,8832.0,5842.0,11500.0,1817.0,966.0,0.0,292783.0,280910.0,11873.0,579054.0,5764.0,5245.0,519.0,60472.0,137100.6767168,227609.13763879045,43.47
