state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,14959.0,9361.0,5598.0,7840.0,7094.0,7346.0,1136.0,6818.0,58.0,2259355.0,2183333.0,76022.0,5049846.0,93523.0,82300.0,11223.0,49769.0,74434.21220770698,173488.33160703868,62.68
Alaska,18329.0,18177.0,152.0,10944.0,7380.0,7931.0,940.0,1181.0,495.0,353158.0,330525.0,22633.0,734182.0,7837.0,7523.0,314.0,65813.0,195023.579597496,319764.0501369896,32.03
Arizona,16339.0,16339.0,0.0,9377.0,6880.0,9377.0,3820.0,2238.0,122.0,3530580.0,3352198.0,178382.0,7264877.0,41430.0,37287.0,4143.0,55487.0,241736.26657070816,352457.68697879213,65.97
Arkansas,34810.0,21017.0,13793.0,21231.0,13548.0,24894.0,2647.0,8693.0,95.0,1339671.0,1285334.0,54337.0,3028122.0,51704.0,44982.0,6722.0,50625.0,62780.031871372776,152305.1923212538,60.09
California,66621.0,59555.0,7066.0,36194.0,29485.0,39840.0,21991.0,17715.0,1258.0,18973385.0,17586320.0,1387065.0,39142991.0,501450.0,446290.0,55160.0,76614.0,390599.3111594103,660258.6050483909,61.17
Colorado,112386.0,82818.0,29568.0,71369.0,40003.0,80133.0,26537.0,13699.0,338.0,3158146.0,2986238.0,171908.0,5811297.0,63105.0,54901.0,8204.0,70706.0,319121.1321272933,482176.60508493095,46.26
Connecticut,14857.0,12359.0,2498.0,9144.0,5661.0,7309.0,3820.0,5494.0,89.0,1855340.0,1739036.0,116304.0,3623355.0,83234.0,75742.0,7492.0,83294.0,200666.10277782413,311449.69452013535,48.6
Delaware,4737.0,4737.0,0.0,2451.0,2280.0,1653.0,342.0,2901.0,18.0,493930.0,466770.0,27160.0,1004807.0,13101.0,11528.0,1573.0,59931.0,193214.2748218175,312557.7427025132,54.48
Florida,42017.0,28457.0,13560.0,24047.0,14996.0,21099.0,4461.0,16988.0,211.0,10353317.0,9872519.0,480798.0,21828069.0,201698.0,183545.0,18153.0,62270.0,180598.51185423534,299104.9080805605,71.8
Georgia,287809.0,287555.0,254.0,108053.0,166087.0,101443.0,19975.0,165869.0,4533.0,5179135.0,4977575.0,201560.0,10788029.0,135070.0,117510.0,17560.0,55786.0,125271.84455473763,247302.00899591355,62.300000000000004
