coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,ec_county,child_ec_county,ec_grp_mem_county,ec_high_county,child_high_ec_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county
CA-530,"Alpine, Inyo, Mono Counties CoC",58.0,58.0,0.0,27.0,31.0,51.0,16.0,0.0,0.0,17076,15974,1102,33423,24.0,19.0,5.0,63306.188074080725,307704.70103740995,479093.2083218563,0.8303269530619632,0.7944483790386859,0.7899562788098016,1.3854361043622654,0.9479751969550908,1.3493539317236634,0.9368895217039165,1.169630008975855,0.8265647656242707,0.8566847743134967,0.15382426682224815,-0.14886192300541545,0.03893880670562187,-0.10486276183846453,0.1168528398833139,0.9912370190823684,0.0726298261560303,0.03410108065876791
CA-600,Los Angeles City & County CoC,17225.0,17225.0,0.0,9005.0,8026.0,7901.0,6672.0,8201.0,205.0,4993482,4547611,445871,9811842,149158.0,132750.0,16408.0,74141.0,509813.76876137464,736521.3657569654,0.73580003,0.75217003,0.73512,1.51421,1.26755,1.56173,0.89952999,1.41041,0.77687001,1.18295,0.18278,-0.10729,0.031800002,-0.071520001,0.081759997,0.94514,0.046920002,0.013579999999999998
CA-601,San Diego City and County CoC,4143.0,4143.0,0.0,2412.0,1710.0,2691.0,1384.0,1044.0,91.0,1547828,1447539,100289,3274954,41098.0,38221.0,2877.0,72637.0,509683.47739259386,733991.9445434302,0.90846002,1.00844,0.93971997,1.49221,1.36462,1.5831099999999998,1.05568,1.3820699,1.05768,1.28804,0.10984,-0.14546999,0.046560001,-0.059459999,0.084210001,0.95931,0.05587,0.01499
CA-602,"Santa Ana, Anaheim/Orange County CoC",2441.0,2441.0,0.0,1265.0,1171.0,1889.0,1108.0,305.0,73.0,1560697,1467342,93355,3161005,28174.0,24511.0,3663.0,81034.0,597969.212966238,853958.048971993,0.85553998,0.89409,0.93721998,1.5257,1.53119,1.59744,1.0273,1.49843,0.93190998,1.4495400000000003,0.087679997,-0.066079997,0.040589999,-0.056329999,0.086589999,0.95327997,0.046700001,0.01335
CA-603,Santa Maria/Santa Barbara County CoC,500.0,500.0,0.0,315.0,179.0,407.0,233.0,48.0,4.0,219871,207164,12707,437434,7956.0,7239.0,717.0,73995.0,451651.77535936836,724926.6914022098,0.72433001,0.99298,0.79137999,1.46104,1.41,1.51827,0.98079002,1.35417,1.09167,1.273,0.19311999999999999,-0.12118,0.09040000300000002,-0.10762,0.093419999,0.98363,0.050930001,0.01894
CA-604,Bakersfield/Kern County CoC,2150.0,569.0,1581.0,1147.0,998.0,1532.0,730.0,474.0,8.0,385852,347572,38280,912351,5928.0,5394.0,534.0,45961.0,192089.08068756358,280322.87375689147,0.6207,0.80997998,0.64687002,1.17506,1.20041,1.25011,0.71630001,1.10131,0.83491999,1.1205699,0.096919999,-0.13511001,0.02987,-0.07124,0.087279998,0.98127002,0.05748,0.009890000299999998
CA-606,Long Beach CoC,603.0,603.0,0.0,407.0,196.0,295.0,164.0,250.0,12.0,4993482,4547611,445871,9811842,149158.0,132750.0,16408.0,74141.0,509813.76876137464,736521.3657569654,0.73580003,0.75217003,0.73512,1.51421,1.26755,1.56173,0.89952999,1.41041,0.77687001,1.18295,0.18278,-0.10729,0.031800002,-0.071520001,0.081759997,0.94514,0.046920002,0.013579999999999998
CA-607,Pasadena CoC,171.0,171.0,0.0,105.0,64.0,89.0,62.0,59.0,3.0,4993482,4547611,445871,9811842,149158.0,132750.0,16408.0,74141.0,509813.76876137464,736521.3657569654,0.73580003,0.75217003,0.73512,1.51421,1.26755,1.56173,0.89952999,1.41041,0.77687001,1.18295,0.18278,-0.10729,0.031800002,-0.071520001,0.081759997,0.94514,0.046920002,0.013579999999999998
CA-608,Riverside City & County CoC,998.0,998.0,0.0,539.0,455.0,704.0,395.0,213.0,16.0,1133045,1050042,83003,2453178,13681.0,11628.0,2053.0,51180.0,350621.43628068647,488397.3443484751,0.74834001,0.94273001,0.85439998,1.3152699,1.30023,1.33789,0.8984400000000001,1.18848,0.9714000199999999,1.19767,0.04902,-0.12571999,0.029510001,-0.08563,0.080349997,0.94778001,0.039820001,0.0094799995
CA-609,San Bernardino City & County CoC,905.0,905.0,0.0,451.0,449.0,518.0,347.0,274.0,10.0,992229,918611,73618,2192882,15853.0,13475.0,2378.0,49493.0,306089.5810052661,446297.47885036416,0.73532999,0.91341001,0.79155999,1.25359,1.25363,1.33752,0.87913001,1.17915,0.92660999,1.1523499,0.099610001,-0.13432001,0.01425,-0.08788,0.080420002,0.94182998,0.038770001,0.01036
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",949.0,949.0,0.0,533.0,416.0,772.0,412.0,45.0,8.0,407465,382236,25229,839358,9025.0,7851.0,1174.0,73375.0,535389.7383266705,726718.1083196704,0.78140998,1.1205601,0.82369,1.47826,1.52679,1.49752,0.98071003,1.3904800000000002,1.1887,1.43025,0.16011,-0.076980002,0.057319999,-0.067500003,0.08512,0.97039002,0.056940001,0.012120000000000002
CA-612,Glendale CoC,88.0,88.0,0.0,39.0,49.0,58.0,44.0,28.0,2.0,4993482,4547611,445871,9811842,149158.0,132750.0,16408.0,74141.0,509813.76876137464,736521.3657569654,0.73580003,0.75217003,0.73512,1.51421,1.26755,1.56173,0.89952999,1.41041,0.77687001,1.18295,0.18278,-0.10729,0.031800002,-0.071520001,0.081759997,0.94514,0.046920002,0.013579999999999998
CA-613,Imperial County CoC,140.0,140.0,0.0,75.0,65.0,131.0,127.0,7.0,0.0,69015,56963,12052,179215,3226.0,3000.0,226.0,47653.0,171692.67812570735,265877.39336939825,0.73171002,0.72803003,0.7947000299999999,1.08608,0.93018001,1.13685,0.85036999,0.9447500099999999,0.7400900100000001,0.80571997,0.065459996,-0.20333999000000003,0.01629,-0.15446,0.10064,0.99202001,0.041129999,0.01122
CA-614,San Luis Obispo County CoC,297.0,297.0,0.0,155.0,142.0,252.0,87.0,19.0,1.0,135428,128208,7220,279298,3037.0,2733.0,304.0,66617.0,510183.7639177194,731817.6953178751,0.93507999,1.13587,0.99188,1.5106,1.3325,1.56125,1.15088,1.3570499,1.2040401,1.23807,0.13815001,-0.15048,0.056620002,-0.076279998,0.095940001,0.9834799799999999,0.11961999999999999,0.025490001
CO-500,Colorado Balance of State CoC,1295.0,767.0,528.0,836.0,443.0,1002.0,239.0,60.0,2.0,941126,889768,51358,1822850,19225.0,16750.0,2475.0,60019.07441972735,284825.04990110704,425036.91473819973,0.9374275168135447,0.8766615167914968,0.98460352796122,1.4104448978319115,1.0432202314375456,1.4599241129088514,1.0933026379094604,1.2956025595725265,0.8963191919481361,0.9593526223638095,0.09981949083668612,-0.12976695340573938,0.01898926647278541,-0.08550710283844593,0.09163097287957485,0.974704798779735,0.07255730704564665,0.01903349365191376
CO-503,Metropolitan Denver CoC,5530.0,5530.0,0.0,3414.0,2100.0,3318.0,1843.0,1449.0,32.0,1386334,1313367,72967,2457975,19211.0,16166.0,3045.0,73988.62296280474,405341.9689200956,545598.7429483854,1.0085062453401314,1.0542351086496404,1.17445575907436,1.520438858612557,1.2910516603921927,1.6016747470566626,1.2479671984835485,1.4589844453544076,1.0624577557623653,1.217595112591666,0.06261731748780293,-0.09781292424789512,0.0068687571504733366,-0.06260198899818711,0.08069173908348538,0.9180562420747689,0.06340245891965907,0.011634656931970097
CO-504,Colorado Springs/El Paso County CoC,1156.0,1156.0,0.0,655.0,495.0,795.0,252.0,196.0,2.0,354358,334200,20158,737228,4962.0,4267.0,695.0,58627.0,309960.53809023974,409165.29827838816,0.96052998,1.12466,1.05616,1.39002,1.32161,1.4674,1.08481,1.29877,1.12125,1.27502,0.026410000000000003,-0.12984,-0.0030499999,-0.036540002,0.078139998,0.95445001,0.06278,0.01177
DE-500,Delaware Statewide CoC,1579.0,1579.0,0.0,817.0,760.0,551.0,114.0,967.0,6.0,493930,466770,27160,1004807,13100.0,11629.0,1471.0,59931.85358183213,186153.25182586486,301709.750358036,0.798068046626586,1.0695936033081674,0.8315616851093892,1.3550892815712867,1.2799457603314865,1.3957257729281347,0.9552487436608722,1.2352386994019746,1.0848434418765593,1.2049901989381442,0.12792250999445667,-0.1315712207418937,0.013471314214881864,-0.0669466510625125,0.08964636000722327,0.9883387423897724,0.05729688462812162,0.017555004610559043
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",526.0,526.0,0.0,336.0,189.0,382.0,51.0,122.0,1.0,370281,355386,14895,862024,5115.0,4449.0,666.0,69383.54651146603,219158.80945836732,344256.485140888,0.7468077118792749,0.9120095966719256,0.7996330044688081,1.3409056233411136,1.134255366927139,1.3907759066251053,0.8748454587346058,1.1987284060072574,0.9283810025312288,1.049896420267881,0.08816630735507364,-0.1603461605077121,0.01777272570137258,-0.08044484959983712,0.08834327878696187,0.978610834437626,0.05976236699552216,0.018860257951054726
FL-501,Tampa/Hillsborough County CoC,870.0,870.0,0.0,496.0,374.0,334.0,145.0,508.0,4.0,772739,739504,33235,1484455,15770.0,14666.0,1104.0,58140.0,203660.9085378851,300855.15581047005,0.67980999,0.9784299700000001,0.76480001,1.32757,1.2488199,1.40853,0.8791499700000001,1.21738,1.01035,1.16187,0.13008,-0.15701,0.03159,-0.074830003,0.079170004,0.96801001,0.050349999,0.012910000000000001
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2307.0,1305.0,1002.0,811.0,492.0,716.0,73.0,515.0,10.0,489255,469435,19820,959046,13245.0,11655.0,1590.0,65936.0,171573.0049949886,292045.8686778277,0.78494,0.86220002,0.84983999,1.37985,1.10367,1.44981,0.91750002,1.2329,0.89257997,1.02284,0.073739998,-0.17592999,0.03404,-0.079020001,0.082259998,0.9777,0.067149997,0.016489999
FL-503,"Lakeland, Winterhaven/Polk County CoC",385.0,385.0,0.0,221.0,162.0,216.0,52.0,153.0,0.0,328270,310484,17786,755179,4416.0,4018.0,398.0,43556.0,157434.892603102,241504.5864614873,0.61522001,0.79833001,0.66496998,1.1340899,1.02896,1.1867,0.73773003,1.0115401,0.80646002,0.9131699800000002,0.09863000399999998,-0.17317,0.01009,-0.1268,0.07914,0.9806699799999999,0.049970001,0.0090100002
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",694.0,359.0,335.0,440.0,254.0,464.0,61.0,183.0,0.0,304903,290599,14304,686892,5768.0,4814.0,954.0,53557.52603902797,187970.75614146804,271182.24603415193,0.7423025692858848,0.764801612499665,0.751616123858132,1.2093246135928208,0.9191254890860282,1.2388867515126107,0.8133496689564007,1.0376806639762872,0.7942230595525352,0.8420123211477787,0.07647245146409043,-0.1938657938525416,0.036999303079773824,-0.09149697583738345,0.08744094672109153,0.9807820557423876,0.052633835953815156,0.014938840689796942
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",73.0,73.0,0.0,32.0,41.0,53.0,7.0,14.0,0.0,133581,128963,4618,293635,2295.0,1913.0,382.0,64649.61220562944,210578.6464737763,354813.775981078,0.810172364954893,0.9829712986530896,0.840395573528939,1.3232671233374769,1.1499259888985989,1.3454400951521446,0.923882025452177,1.1495971307916293,1.0121057434397807,1.0736883118497453,0.09008908657795563,-0.17025764276618932,0.024200863384773612,-0.07263793428764281,0.08790726786648731,0.9778524150166363,0.058640796307058075,0.01571310392153524
FL-506,Tallahassee/Leon County CoC,621.0,530.0,91.0,404.0,216.0,208.0,25.0,377.0,7.0,218060,208564,9496,446723,6040.0,5005.0,1035.0,50374.46173579601,109855.01744335791,205507.06677823424,0.6904689962873637,0.9125740329953238,0.7065102098829475,1.2527549843178434,1.1773415365270872,1.270653630167285,0.778494602814048,1.0826427705763528,0.9279541296371353,1.1021113273605792,0.09528263298024728,-0.18212613669356623,0.015049547751197944,-0.07788063374830713,0.10901360028566248,0.9897775631216438,0.0600384881598776,0.021372030859586364
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",1544.0,1544.0,0.0,887.0,655.0,659.0,311.0,797.0,4.0,1177184,1117185,59999,2302957,10723.0,9907.0,816.0,53667.66832511419,205831.66892575708,310414.3740516911,0.7646119601580881,0.9642574978086436,0.8072297025259741,1.310871044418111,1.2010691339091435,1.3443826768244913,0.8788050226983222,1.1943084677004392,0.9970955985625265,1.107866899455613,0.08139491845450306,-0.12482945455718887,0.03205282650134718,-0.08482491118712811,0.07769779668315041,0.9531162411676075,0.048957208823241595,0.01351475076173806
FL-508,"Gainesville/Alachua, Putnam Counties CoC",677.0,313.0,364.0,461.0,214.0,367.0,46.0,267.0,3.0,200755,192307,8448,446390,6617.0,5425.0,1192.0,48250.35666793611,120039.17404700052,213236.85743554615,0.7181802740448711,0.866978315172607,0.7287030221013688,1.2516661117529067,1.0789264322356011,1.2740487442357802,0.8126709731341876,1.0625567707818724,0.9182404288111516,0.9771298494245614,0.10149217754348439,-0.20866619314395482,0.04824945100137324,-0.10864455785182464,0.10055631312204351,0.9888364531289904,0.07643289551039897,0.01954091257456036
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",814.0,121.0,693.0,531.0,283.0,594.0,69.0,186.0,1.0,139333,133507,5826,324063,836.0,821.0,15.0,98651.59460660427,187455.28669676627,322294.2705937007,0.7491088769563943,0.9476401324799808,0.756235281037144,1.325091189892089,1.1563627060522181,1.3594987724609102,0.837191364560965,1.1299933276862832,1.0020173510455066,1.0256773288793226,0.09669428345492388,-0.20419009131514548,0.05359839469485872,-0.13095862013987714,0.09438684625907,0.9837119612506519,0.07229271802819823,0.020469230933685734
FL-510,"Jacksonville-Duval, Clay Counties CoC",1222.0,992.0,230.0,844.0,371.0,467.0,41.0,696.0,8.0,645091,617381,27710,1319178,17408.0,16865.0,543.0,55057.758576173954,154614.19536089493,251835.6232525188,0.7057898283458108,0.9520331036770169,0.7307854083964181,1.2718928105835603,1.188872649612107,1.3250253530556906,0.8339252988828195,1.1395697497280122,0.9616963618765323,1.1532663700127654,0.1254795129566192,-0.16308328149802379,0.009919186228773372,-0.031380955667416374,0.0807298083586059,0.9780327080787051,0.05746904647117826,0.012817632199748633
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",731.0,148.0,583.0,568.0,158.0,435.0,12.0,267.0,5.0,230670,220945,9725,517263,5255.0,4667.0,588.0,52546.02400326333,139956.04272525004,235770.79006315398,0.749632852306409,0.8835862757983658,0.7816593834184932,1.2744732836487433,1.0982829298635317,1.3019238725947921,0.8395810229890791,1.0844030499726445,0.9267286661044768,1.0145921709845862,0.07132683069027361,-0.2006460728933444,0.04769910957726147,-0.08337279351854472,0.08779531249145793,0.9818714756104535,0.06161174249588894,0.01364339183355469
FL-513,"Palm Bay, Melbourne/Brevard County CoC",432.0,432.0,0.0,258.0,151.0,310.0,47.0,99.0,3.0,289818,277874,11944,617742,5628.0,5065.0,563.0,55477.0,185359.1980022633,283591.1747083992,0.78833997,0.96875,0.80202001,1.29075,1.14327,1.33547,0.8826900099999999,1.13557,0.97719997,1.06672,0.091389999,-0.17603,0.0086500002,-0.071759999,0.08901,0.9854900200000001,0.070459999,0.01581
FL-514,Ocala/Marion County CoC,512.0,302.0,210.0,317.0,194.0,321.0,39.0,155.0,0.0,143152,136025,7127,385084,2483.0,2160.0,323.0,45152.0,136820.90807478302,206112.81521722334,0.62976998,0.66760999,0.64548999,1.11139,0.80650002,1.17591,0.7202,0.94665998,0.66558999,0.7280600099999999,0.10372999999999999,-0.24218000000000003,-0.0030400001,-0.10773,0.083219998,0.98606002,0.0449,0.011799999999999998
FL-515,"Panama City/Bay, Jackson Counties CoC",101.0,101.0,0.0,27.0,73.0,69.0,10.0,21.0,0.0,129531,124192,5339,298790,3472.0,2915.0,557.0,48073.95963050972,124476.5416122963,220084.82798490647,0.6582561862478998,0.8499744994265203,0.6815752824728739,1.1337945668941398,0.9830159539752669,1.1644563860705512,0.7498306908701093,0.9275357117061147,0.8520464328717829,0.8843034041067973,0.08716206275115632,-0.2605167358495599,0.00035619566243582463,-0.11491136297582918,0.10012733863416447,0.9907149669036781,0.053140226338532076,0.017548444066742528
FL-517,"Hendry, Hardee, Highlands Counties CoC",27.0,27.0,0.0,0.0,27.0,15.0,7.0,7.0,0.0,81786,77321,4465,221126,714.0,639.0,75.0,39766.35644835976,96147.56452994295,174922.6353942365,0.5330535698550148,0.5908923272399447,0.5258645128823838,0.9910878209024718,0.701792127547959,0.9872948484813636,0.5805741336584119,0.7677801697240035,0.5863181884268245,0.5975151716012138,0.09522187486630701,-0.28954735996902214,-0.006874921680996806,-0.1616684319736711,0.10856118127221584,0.994095645395883,0.04882933066277145,0.014724505110480903
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",69.0,69.0,0.0,31.0,38.0,32.0,1.0,36.0,0.0,53727,51211,2516,135034,923.0,826.0,97.0,40053.77524179096,92488.47796246647,176797.29239158367,0.5682655206075506,0.7441893212466489,0.5702182683113882,0.9964282605740777,0.9019297878882355,1.0060236952976287,0.6249300996363879,0.7700962779711776,0.7768386752383845,0.7781517017342299,0.08715315131820135,-0.3066330937221737,0.040354878822503965,-0.15813786957358886,0.10728719759467988,0.9930172681734971,0.0520153254019284,0.014778463023445947
FL-519,Pasco County CoC,857.0,334.0,523.0,533.0,320.0,722.0,100.0,97.0,2.0,247604,236516,11088,584927,2447.0,1982.0,465.0,50479.0,160621.60155404612,264961.7598967235,0.76490003,0.84337997,0.81164998,1.27438,1.0429699,1.31236,0.87857997,1.1337301,0.83679998,0.94869,0.076180004,-0.15756001,-0.0078600002,-0.09939,0.081249997,0.9542999900000001,0.056919999,0.01127
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",638.0,313.0,325.0,366.0,271.0,500.0,72.0,110.0,1.0,316402,300389,16013,889871,1722.0,1528.0,194.0,50325.89236642165,184630.89885329877,267135.0829113685,0.7156942195898169,0.7396406958258894,0.7329812867519225,1.1823972314638864,0.8681877607853947,1.2281782164044002,0.7830202192933358,1.0228118795672407,0.7496547602792315,0.7935322545885302,0.06348950588122998,-0.20043278671829962,0.01574309172683243,-0.09199120218664952,0.08887961393190362,0.978442821585342,0.056849676149838574,0.015607356697623588
FL-600,Miami-Dade County CoC,3224.0,2332.0,892.0,2058.0,1161.0,1332.0,1016.0,1831.0,9.0,1323692,1250255,73437,2670421,49912.0,46418.0,3494.0,64849.0,219348.50448205404,362036.66668516694,0.58605999,0.74071997,0.72373003,1.3271199,1.13447,1.47856,0.79733998,1.2580301,0.77192003,1.06707,0.092320003,-0.1753,0.04042,-0.063160002,0.079300001,0.96485001,0.027690001000000002,0.01182
FL-601,Ft Lauderdale/Broward County CoC,2561.0,794.0,1767.0,459.0,331.0,1084.0,118.0,562.0,11.0,1032694,981959,50735,1935729,16445.0,14636.0,1809.0,64453.0,169423.029655533,321600.109558865,0.75189,0.95972002,0.79069,1.34356,1.32557,1.40402,0.87300003,1.24894,0.97488999,1.25969,0.094290003,-0.12417,0.01556,-0.052299999,0.080229998,0.9674699899999999,0.03742000100000001,0.01445
FL-602,Punta Gorda/Charlotte County CoC,154.0,93.0,61.0,108.0,45.0,102.0,23.0,25.0,0.0,73472,70196,3276,194934,834.0,817.0,17.0,51677.0,173357.56944771274,271293.41060321307,0.77934003,0.74655998,0.8053299800000001,1.2286299,0.84517002,1.26007,0.84236002,1.07414,0.75779998,0.76950002,0.043960001,-0.17309998999999998,0.01484,-0.09832999900000002,0.09149,0.97749001,0.06532,0.01926
FL-603,"Ft Myers, Cape Coral/Lee County CoC",394.0,177.0,217.0,244.0,150.0,241.0,68.0,142.0,0.0,359008,343793,15215,790676,5054.0,4548.0,506.0,62885.0,150665.95809250977,284865.8504460266,0.67043,0.89972001,0.7457299800000001,1.26503,1.0911601,1.31665,0.81989998,1.15373,0.9076099999999999,1.01345,0.090470001,-0.14121,0.0087000001,-0.076679997,0.085759997,0.98150003,0.064120002,0.01309
FL-604,Monroe County CoC,242.0,242.0,0.0,189.0,53.0,196.0,32.0,36.0,1.0,46003,44616,1387,82265,1378.0,1336.0,42.0,109136.0,446610.83491618466,697330.4387144109,0.78771001,0.98176003,0.81079,1.3287801,1.14539,1.33303,0.90373999,1.12229,0.98703998,1.00324,0.10284999999999998,-0.18776999,0.0053500002,-0.14169,0.096529998,0.9903399899999998,0.066799998,0.02533
FL-605,West Palm Beach/Palm Beach County CoC,458.0,458.0,0.0,229.0,224.0,162.0,67.0,276.0,5.0,735244,703046,32198,1503223,11727.0,10437.0,1290.0,100627.0,185817.11773094884,352210.9976945989,0.68330997,0.9013599800000001,0.73027003,1.3988999999999998,1.26561,1.48629,0.84448999,1.30233,0.93800002,1.20599,0.13525,-0.14125,0.03906,-0.049430002,0.08185,0.97763997,0.05421,0.014489999999999998
FL-606,Naples/Collier County CoC,568.0,424.0,144.0,311.0,257.0,402.0,171.0,115.0,7.0,181287,174491,6796,387241,969.0,901.0,68.0,117984.0,246814.938239856,429410.6442279116,0.65601999,0.9456400300000001,0.68504,1.33907,1.22851,1.3944401,0.76536,1.21472,0.95722002,1.14319,0.10494,-0.14794999,0.0121,-0.07463,0.088040002,0.98026001,0.074409999,0.01606
GA-501,Georgia Balance of State CoC,1896.0,1896.0,0.0,711.0,1096.0,669.0,132.0,1093.0,30.0,3294461,3175910,118551,7095708,64859.0,55587.0,9272.0,48570.62290091419,146208.0004399656,228854.96346725806,0.6906027380928429,0.9518937800617289,0.7321650847808323,1.1848679198268586,1.1410003860328286,1.2180588861152486,0.7976119146004853,1.0039048681827873,0.9669801360002356,1.0507936412669772,0.08536099991108886,-0.22755839237324846,0.015084671683184466,-0.09275358453571807,0.10459591800890468,0.9718715028879655,0.05122047018804607,0.01477223150536368
GA-503,Athens-Clarke County CoC,133.0,133.0,0.0,59.0,73.0,49.0,6.0,80.0,0.0,58531,56275,2256,129185,2419.0,2177.0,242.0,40672.0,127859.80053218734,227194.1988854827,0.74735999,0.62414998,0.74191999,1.4427299,1.0862400999999997,1.45,0.86171001,1.23349,0.69546002,0.9249,0.13901,-0.17553,0.10254,-0.17442999999999997,0.10796,0.98636001,0.072729997,0.019300001
GA-504,Augusta-Richmond County CoC,144.0,144.0,0.0,102.0,42.0,37.0,5.0,105.0,0.0,83932,79496,4436,205358,7410.0,6594.0,816.0,43429.0,72584.56737552844,138467.23136687392,0.53325999,0.69955999,0.51033002,1.14449,0.94444001,1.15811,0.60736001,0.97979999,0.7081999800000001,0.91268998,0.15976,-0.18199,0.0122,-0.0348,0.097070001,0.99387002,0.040429998,0.01719
GA-505,Columbus-Muscogee/Russell County CoC,236.0,209.0,27.0,130.0,105.0,111.0,14.0,110.0,0.0,99758,95039,4719,263692,6942.0,5935.0,1007.0,46929.985316202234,58108.94086830959,133486.1289173167,0.574841247247698,0.8127284998505833,0.5705831348928295,1.129054225080776,1.0524635425511584,1.1573975253614064,0.6576858849193756,0.9741174274027274,0.8184675777026227,1.007955284801966,0.13223189266265187,-0.18803081974424707,0.0076461354875961346,-0.04736177294956236,0.09568016103872701,0.9913625417144243,0.053337927814768746,0.014473144858900536
GA-506,Marietta/Cobb County CoC,252.0,252.0,0.0,135.0,116.0,81.0,9.0,161.0,1.0,423814,410068,13746,766691,3411.0,3172.0,239.0,67616.0,227133.58737779595,328024.15833936207,0.79141998,1.1193,0.93735999,1.39261,1.44366,1.475,0.9953399899999998,1.30001,1.14513,1.3764399999999999,0.058260001,-0.13461,0.02256,-0.04882999899999999,0.08789999800000001,0.9326800100000001,0.055270001,0.015069999999999998
GA-507,Savannah/Chatham County CoC,548.0,321.0,227.0,201.0,120.0,130.0,6.0,188.0,1.0,143440,137279,6161,295656,6148.0,5471.0,677.0,54586.0,130324.43523247328,221035.6596675899,0.66373003,0.8942300099999999,0.69281,1.30003,1.22824,1.33832,0.79360002,1.13819,0.90639001,1.19341,0.12701,-0.17583001,0.01341,-0.02918,0.094959997,0.9912599899999999,0.056549999999999996,0.01543
HI-500,Hawaii Balance of State CoC,636.0,636.0,0.0,292.0,342.0,146.0,90.0,10.0,25.0,130088,121686,8402,277583,4930.0,4395.0,535.0,51650.28322699877,316947.12114886136,508325.68805604335,0.9383826489556638,0.9839254285955552,0.917261001314634,1.2747139685427422,1.0875713157538467,1.2749895358505383,0.9689775977232755,1.1462764543577957,0.9902479693776636,1.052935160222348,0.05498795257634653,-0.11276981717674714,0.006401891018122148,-0.032947048283907876,0.1046718009388183,0.992183715776038,0.11019809105744947,0.021403112798694446
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",233.0,217.0,16.0,144.0,89.0,115.0,41.0,47.0,10.0,66096,63606,2490,127072,2657.0,2349.0,308.0,50297.3735205238,90868.6159126691,153121.66231979086,0.7512337748677916,0.9359976072267692,0.8758954355156131,1.3548099571896246,1.1296034739360363,1.4295412085935533,0.9940061588302695,1.2341981950390328,0.9550003636905061,1.027044823703727,0.11879057731050113,-0.15868770412175776,0.02095236053173004,-0.10215451122752454,0.10578900528834047,0.9931442387289097,0.04936405574534122,0.015080709485557795
IA-501,Iowa Balance of State CoC,1725.0,1331.0,394.0,984.0,738.0,1233.0,139.0,365.0,20.0,1257002,1209221,47781,2382633,30222.0,26056.0,4166.0,56173.84693740077,90182.30043223953,161661.2853941663,0.9794289059677214,0.9690027921438719,1.0370712274481049,1.4520458306029507,1.0826928447330537,1.4793782147681998,1.1173680433454376,1.2854348335696644,0.9698258547736599,1.0127029604844304,0.07477113836926057,-0.1536540513783541,-0.0006378161858656031,-0.07015728874239088,0.11545801786316987,0.9904424062657152,0.08915570530685045,0.019345732174307583
IA-502,Des Moines/Polk County CoC,576.0,458.0,118.0,393.0,181.0,405.0,53.0,109.0,11.0,270147,259270,10877,497675,5915.0,4850.0,1065.0,60799.0,139044.0795893141,220185.90391598424,0.86509001,1.04963,1.01931,1.5317301,1.31801,1.60174,1.09937,1.4018199,1.0467401,1.25275,0.07282,-0.14262,-0.0027600001,-0.052099999,0.099749997,0.98370999,0.088500001,0.017490000000000002
ID-500,Boise/Ada County CoC,575.0,502.0,73.0,346.0,156.0,457.0,74.0,28.0,1.0,267054,258509,8545,512914,3307.0,3009.0,298.0,62610.0,378685.63374304253,482451.08157177496,0.98964,1.1076,1.08156,1.43308,1.23489,1.46576,1.08566,1.26846,1.10606,1.16883,0.0037799999,-0.15554,-0.00139,-0.05652,0.083319999,0.97092998,0.11842,0.0147
ID-501,Idaho Balance of State CoC,1314.0,515.0,799.0,184.0,328.0,433.0,80.0,9.0,3.0,648332,624934,23398,1374351,9312.0,7972.0,1340.0,48647.576472822446,249738.90811560547,354970.5226060852,0.8568670496806493,0.9125154545268275,0.8571087374624823,1.2778004831475367,1.0342042078441172,1.2730542417399995,0.9162011841723767,1.0805234735344247,0.9181540662826818,0.9522962523158495,0.0657304567217333,-0.17914872761557346,0.005471156716683948,-0.08729391467095028,0.09434275093199918,0.9789564146091427,0.09310555633197923,0.015062549411082976
IL-500,McHenry County CoC,49.0,43.0,6.0,35.0,13.0,40.0,2.0,7.0,1.0,164803,156995,7808,311592,1657.0,1458.0,199.0,64119.0,166446.7929156528,244173.1886703826,1.0315599,1.32226,1.09259,1.49582,1.48263,1.56332,1.21182,1.43011,1.33438,1.42664,0.098379999,-0.093149997,0.0090800002,-0.039250001,0.10014,0.97126001,0.085699998,0.013369999999999998
