coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
KS-502,Wichita/Sedgwick County CoC,593.0,536.0,57.0,401.0,192.0,352.0,66.0,181.0,10.0,255062,245943,9119,516579,5425.0,4774.0,651.0,54385.0,67127.94797948061,136478.120607482
KS-503,Topeka/Shawnee County CoC,441.0,373.0,68.0,275.0,166.0,276.0,42.0,100.0,2.0,91284,88136,3148,176735,3199.0,2847.0,352.0,48091.0,60394.43871006667,127584.57513987926
KS-505,"Overland Park, Shawnee/Johnson County CoC",189.0,150.0,39.0,82.0,107.0,110.0,13.0,52.0,4.0,343289,333470,9819,602948,3470.0,3365.0,105.0,78670.0,203956.10418057014,292528.32330467424
KS-507,Kansas Balance of State CoC,1056.0,822.0,234.0,615.0,440.0,716.0,114.0,166.0,2.0,737164,713457,23707,1450364,17833.0,14910.0,2923.0,44973.278874130905,60887.4452290882,110777.14180926065
KY-500,Kentucky Balance of State CoC,2221.0,1571.0,650.0,1214.0,1004.0,1840.0,56.0,271.0,1.0,1494001,1429876,64125,3380638,56888.0,51273.0,5615.0,40739.804473593445,58814.560289282934,121236.1944600248
KY-501,Louisville-Jefferson County CoC,1071.0,953.0,118.0,753.0,318.0,498.0,53.0,481.0,2.0,399366,383947,15419,767785,21224.0,18040.0,3184.0,54293.0,90650.91040986693,172283.272063165
KY-502,Lexington-Fayette County CoC,787.0,776.0,11.0,525.0,262.0,529.0,38.0,207.0,8.0,175611,170050,5561,323922,6484.0,5641.0,843.0,51983.0,118944.11839055081,191747.83037154595
MA-500,Boston CoC,6242.0,6121.0,121.0,3286.0,2941.0,2154.0,2663.0,2946.0,61.0,463611,451029,12582,805915,53574.0,49823.0,3751.0,84307.0,373929.1741341306,552303.2892571787
MA-502,Lynn CoC,1035.0,1030.0,5.0,444.0,590.0,697.0,572.0,303.0,4.0,432463,419054,13409,789725,20449.0,19017.0,1432.0,68854.0,309811.7723623674,448751.239720044
MA-503,Cape Cod Islands CoC,371.0,333.0,38.0,174.0,196.0,272.0,50.0,78.0,1.0,125424,120344,5080,230384,3639.0,3286.0,353.0,76231.96783630807,327063.65646442195,471079.5101174627
