state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
New Hampshire,6748.0,5839.0,909.0,3566.0,3098.0,5812.0,525.0,332.0,25.0,780538.0,760517.0,20021.0,1360783.0,21607.0,20310.0,1297.0,64747.0,176338.59176908457,282135.24152847787
New Jersey,12467.0,10272.0,2195.0,7490.0,4952.0,5434.0,2260.0,6515.0,75.0,4686268.0,4524295.0,161973.0,8891258.0,167778.0,156033.0,11745.0,68438.0,180340.23008314634,326468.40136391984
New Mexico,56468.0,33757.0,22711.0,30605.0,25303.0,29773.0,24178.0,2796.0,79.0,956099.0,908705.0,47394.0,2099634.0,25906.0,22020.0,3886.0,43530.0,108591.51255349367,187946.14894021655
New York,419618.0,400744.0,18874.0,221234.0,196332.0,86890.0,145587.0,302306.0,5435.0,9853964.0,9474511.0,379453.0,19463131.0,593649.0,546157.0,47492.0,67366.0,137406.27088445777,306099.53452522674
North Carolina,246468.0,175914.0,70554.0,142542.0,103512.0,139402.0,10233.0,92362.0,973.0,4993480.0,4801095.0,192385.0,10501384.0,126921.0,107882.0,19039.0,48741.0,96881.69597509042,195599.21350439265
North Dakota,29521.0,28885.0,636.0,20034.0,9434.0,17066.0,4346.0,4770.0,53.0,413857.0,404799.0,9058.0,763724.0,13344.0,10408.0,2936.0,57110.0,97740.59888394346,199726.4450048165
Ohio,267791.0,206048.0,61743.0,145305.0,122309.0,206016.0,10749.0,48414.0,396.0,5877460.0,5632578.0,244882.0,11696507.0,224442.0,208731.0,15711.0,50035.0,68965.72190881746,144296.5164688184
Oklahoma,17921.0,11981.0,5940.0,10621.0,7294.0,11865.0,1085.0,2190.0,42.0,1840223.0,1782412.0,57811.0,3960676.0,52979.0,48740.0,4239.0,48646.0,51504.37699420022,124270.13597477776
Oregon,209417.0,61994.0,147423.0,115296.0,93379.0,182495.0,22044.0,4621.0,676.0,2094783.0,2017199.0,77584.0,4216116.0,53882.0,49571.0,4311.0,52718.0,235521.05467089193,354169.10014458833
Pennsylvania,85988.0,72928.0,13060.0,47793.0,38145.0,60911.0,12219.0,21231.0,285.0,6573614.0,6287803.0,285811.0,12798883.0,221343.0,199208.0,22135.0,56952.0,82348.16187675217,176006.0537554959
Rhode Island,5275.0,4920.0,355.0,3450.0,1790.0,3275.0,1280.0,1545.0,40.0,574347.0,554076.0,20271.0,1058158.0,38300.0,35619.0,2681.0,55830.0,207103.61732709434,292468.3890611399
South Carolina,51880.0,30826.0,21054.0,32809.0,19009.0,22319.0,1430.0,26933.0,172.0,2324502.0,2259806.0,64696.0,5157702.0,62920.0,59144.0,3776.0,46681.0,78324.52858793385,178237.64281516697
South Dakota,65670.0,50226.0,15444.0,39930.0,25674.0,18810.0,3300.0,4950.0,198.0,464339.0,451357.0,12982.0,887127.0,13820.0,11747.0,2073.0,55294.0,102922.25235102826,194364.10513747597
Tennessee,52489.0,23075.0,29414.0,29298.0,23131.0,34968.0,1008.0,14768.0,80.0,3335279.0,3223669.0,111610.0,6830325.0,105236.0,96817.0,8419.0,49343.0,84455.73104557679,182819.0460883117
Texas,1709799.0,730634.0,979165.0,1047465.0,654775.0,1197601.0,570282.0,441778.0,7780.0,13921798.0,13429088.0,492710.0,28986794.0,280083.0,249273.0,30810.0,54076.0,107057.52579820597,202707.64920266462
Utah,21991.0,17895.0,4096.0,11960.0,9966.0,18356.0,4424.0,1913.0,137.0,1618701.0,1577593.0,41108.0,3203383.0,19063.0,17347.0,1716.0,48580.0,235151.24838251658,336882.66273370053
Vermont,10449.0,9543.0,906.0,5680.0,4649.0,9205.0,390.0,565.0,55.0,353503.0,346015.0,7488.0,624046.0,12451.0,10832.0,1619.0,55442.0,130233.52243862457,221268.38967325966
Virginia,77124.0,64837.0,12287.0,40058.0,36803.0,37586.0,4799.0,33055.0,746.0,4414988.0,4292509.0,122479.0,8556642.0,104366.0,93929.0,10437.0,59073.0,132045.4330489812,267069.7125695205
Washington,192356.0,111530.0,80826.0,109437.0,81453.0,152927.0,30134.0,12341.0,1440.0,3933882.0,3766966.0,166916.0,7614024.0,89630.0,84252.0,5378.0,64189.0,248639.11324559615,393431.3808468436
West Virginia,37262.0,28839.0,8423.0,22949.0,14313.0,32906.0,1066.0,3050.0,117.0,795306.0,755912.0,39394.0,1795263.0,34104.0,31375.0,2729.0,42951.0,46194.13053401058,108820.74785569806
Wisconsin,200038.0,193351.0,6687.0,106686.0,92659.0,131065.0,18162.0,34169.0,2218.0,3111736.0,3012830.0,98906.0,5824581.0,77230.0,68734.0,8496.0,52893.0,102245.76395228242,190228.04014694443
Wyoming,12604.0,9729.0,2875.0,8648.0,3956.0,10488.0,1541.0,713.0,0.0,293318.0,282431.0,10887.0,580116.0,5714.0,5371.0,343.0,64117.0,145042.22941179914,238497.96813353914
